"MouseGeneName","Accession"
"Fn1","A0A087WR50_MOUSE"
"Tgfb2","A0A0A6YXU9_MOUSE (+1)"
"Manba","A0A0R4J092_MOUSE"
"Lrp1","A0A0R4J0I9_MOUSE (+1)"
"Pdia4","A0A0R4J0Z1_MOUSE (+1)"
"Rnh1","A0A1B0GSG5_MOUSE (+1)"
"Sparc","A0A1L1SSH9_MOUSE (+2)"
"Tfpi","A2ARA0_MOUSE (+1)"
"Hbb-bs","A8DUK4_MOUSE"
"Rnaset2b","RNT2B_MOUSE"
"Col6a3","E9PWQ3_MOUSE"
"Psap","E9PZ00_MOUSE (+1)"
"Ahnak","E9Q616_MOUSE"
"Lamb1","E9QN70_MOUSE (+1)"
"Ide","F6RPJ9_MOUSE"
"Lamc1","F8VQJ3_MOUSE"
"Igfbp7","F8WH23_MOUSE (+1)"
"Serpinb6a","F8WIV2_MOUSE"
"Ctsa","G3X8T3_MOUSE (+1)"
"Serpine1","G5E899_MOUSE"
"Rbp4","H7BWY6_MOUSE (+1)"
"Tnfrsf11b","TR11B_MOUSE"
"Prkcsh","sp|O08795-2|GLU2B_MOUSE (+1)"
"Serpinb9","O08797_MOUSE"
"Serpinb6b","O08804_MOUSE"
"Serpinb9e","O08806_MOUSE"
"Prdx4","PRDX4_MOUSE"
"Gsto1","GSTO1_MOUSE"
"Man2b1","MA2B1_MOUSE"
"Ddt","DOPD_MOUSE"
"Tfpi2","TFPI2_MOUSE"
"Angpt2","ANGP2_MOUSE"
"Ifnar2","sp|O35664-2|INAR2_MOUSE (+2)"
"Chil3","CHIL3_MOUSE"
"Calu","CALU_MOUSE"
"Dnase1l3","DNSL3_MOUSE"
"Ctss","CATS_MOUSE (+1)"
"Sfn","1433S_MOUSE"
"Col5a1","CO5A1_MOUSE"
"Nid2","NID2_MOUSE"
"Naglu","O88325_MOUSE"
"Ppt1","PPT1_MOUSE"
"Hnrnpa2b1","sp|O88569-2|ROA2_MOUSE (+2)"
"Sema3f","sp|O88632-2|SEM3F_MOUSE (+1)"
"Creg1","CREG1_MOUSE"
"Tcn2","TCO2_MOUSE"
"Lgmn","LGMN_MOUSE"
"Tpp1","TPP1_MOUSE"
"Itm2b","ITM2B_MOUSE"
"C3","sp|P01027|CO3_MOUSE"
"C4b","CO4B_MOUSE"
"B2m","B2MG_MOUSE"
"H2-D1","HA11_MOUSE"
"H2-K1","HA1B_MOUSE"
"Col4a1","CO4A1_MOUSE"
"Afp","FETA_MOUSE"
"Ada","ADA_MOUSE"
"Aldoa","ALDOA_MOUSE"
"Prkaca","sp|P05132-2|KAPCA_MOUSE (+1)"
"Ctsl","CATL1_MOUSE"
"Plau","UROK_MOUSE"
"Csf1","sp|P07141|CSF1_MOUSE"
"Ttr","TTHY_MOUSE"
"Anxa2","ANXA2_MOUSE"
"Alb","ALBU_MOUSE"
