"Accession","X.10lgP","X.Unique","X.Spec.Sample.1","X.Spec.Sample.2","X.Spec.Sample.3","X.Spec.Sample.4","X.Spec.Sample.5","PTM","Description","ProteinID","Accession.Number","Accession.New","MouseGeneName"
"P19137|LAMA1_MOUSE",712.67,217,135,273,118,137,178,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Laminin subunit alpha-1 OS=Mus musculus GN=Lama1 PE=1 SV=1","P19137","LAMA1_MOUSE","LAMA1_MOUSE","Lama1"
"P02469|LAMB1_MOUSE",687.8,184,135,240,101,147,198,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Laminin subunit beta-1 OS=Mus musculus GN=Lamb1 PE=1 SV=3","P02469","LAMB1_MOUSE","LAMB1_MOUSE","Lamb1"
"P02468|LAMC1_MOUSE",632.9,186,141,251,116,156,181,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2","P02468","LAMC1_MOUSE","LAMC1_MOUSE","Lamc1"
"Q80X90|FLNB_MOUSE",540.35,126,100,108,97,84,108,"Carbamidomethylation; Deamidation (NQ)","Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3","Q80X90","FLNB_MOUSE","FLNB_MOUSE","Flnb"
"Q8VDD5|MYH9_MOUSE",530.64,96,120,133,113,112,137,"Carbamidomethylation; Deamidation (NQ)","Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4","Q8VDD5","MYH9_MOUSE","MYH9_MOUSE","Myh9"
"Q8BTM8|FLNA_MOUSE",524.76,114,87,106,56,82,75,"Carbamidomethylation; Deamidation (NQ)","Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5","Q8BTM8","FLNA_MOUSE","FLNA_MOUSE","Flna"
"P26039|TLN1_MOUSE",505.87,82,63,66,51,57,71,"Carbamidomethylation; Deamidation (NQ)","Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2","P26039","TLN1_MOUSE","TLN1_MOUSE","Tln1"
"Q68FD5|CLH1_MOUSE",475.89,86,75,55,64,63,68,"Carbamidomethylation; Deamidation (NQ)","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3","Q68FD5","CLH1_MOUSE","CLH1_MOUSE","Cltc"
"P60710|ACTB_MOUSE",465.3,40,153,140,135,136,164,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Actin  cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1","P60710","ACTB_MOUSE","ACTB_MOUSE","Actb"
"P11087|CO1A1_MOUSE",461.16,46,30,39,11,25,30,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4","P11087","CO1A1_MOUSE","CO1A1_MOUSE","Col1a1"
"P10493|NID1_MOUSE",457.82,70,64,88,36,46,54,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2","P10493","NID1_MOUSE","NID1_MOUSE","Nid1"
"P68369|TBA1A_MOUSE",456.15,2,43,51,51,68,69,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1","P68369","TBA1A_MOUSE","TBA1A_MOUSE","Tuba1a"
"P68373|TBA1C_MOUSE",449.15,2,41,47,50,65,67,"Carbamidomethylation; Oxidation (M); Deamidation (NQ)","Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1","P68373","TBA1C_MOUSE","TBA1C_MOUSE","Tuba1c"
"P99024|TBB5_MOUSE",443.26,5,65,58,64,52,48,"Carbamidomethylation; Deamidation (NQ)","Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1","P99024","TBB5_MOUSE","TBB5_MOUSE","Tubb5"
"Q9JKF1|IQGA1_MOUSE",442.05,58,45,36,32,33,40,"Carbamidomethylation; Deamidation (NQ)","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2","Q9JKF1","IQGA1_MOUSE","IQGA1_MOUSE","Iqgap1"
"Q9JHU4|DYHC1_MOUSE",439.8,83,59,28,42,44,44,"Carbamidomethylation; Deamidation (NQ)","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2","Q9JHU4","DYHC1_MOUSE","DYHC1_MOUSE","Dync1h1"
