"Accession.Number","S3","S4","S5","P3","P4","P5"
"LEG1_MOUSE",3,6,1,6,6,6
"ENPL_MOUSE",4,0,2,46,52,41
"HS90B_MOUSE",2,1,0,36,37,41
"HS90A_MOUSE",2,1,0,36,35,36
"HSP7C_MOUSE",1,1,0,30,32,33
"ALDOA_MOUSE",1,1,0,11,1,18
"TBA1C_MOUSE",1,0,1,15,15,19
"IF4A1_MOUSE",1,0,0,13,11,16
"ENOA_MOUSE",1,0,0,12,6,15
"1433Z_MOUSE",1,0,0,10,11,9
"DJB11_MOUSE",1,0,0,9,9,8
"1433E_MOUSE",1,0,0,9,7,10
"PDLI1_MOUSE",0,9,0,12,1,13
"CALU_MOUSE",0,4,0,10,3,12
"COF1_MOUSE",0,4,0,8,2,8
"PDIA1_MOUSE",0,1,0,36,30,29
"SERPH_MOUSE",0,1,0,23,14,22
"GDIR1_MOUSE",0,1,0,9,5,9
"DEST_MOUSE",0,1,0,5,1,5
"PGK1_MOUSE",0,0,1,13,2,18
"TLN1_MOUSE",0,0,0,48,59,68
"UGGG1_MOUSE",0,0,0,38,27,31
"PDIA3_MOUSE",0,0,0,37,26,34
"TERA_MOUSE",0,0,0,32,40,42
"HYOU1_MOUSE",0,0,0,32,37,30
"DYHC1_MOUSE",0,0,0,31,26,53
"MYH9_MOUSE",0,0,0,22,20,43
"GANAB_MOUSE",0,0,0,22,13,28
"TGM2_MOUSE",0,0,0,18,14,20
"CEAM5_MOUSE",0,0,0,18,12,23
"TCPB_MOUSE",0,0,0,18,10,25
"ERO1A_MOUSE",0,0,0,18,5,20
"TCPG_MOUSE",0,0,0,17,12,21
"ATX10_MOUSE",0,0,0,17,11,23
"USO1_MOUSE",0,0,0,16,9,12
"TCPA_MOUSE",0,0,0,15,15,18
"DNJC3_MOUSE",0,0,0,15,10,16
"CALX_MOUSE",0,0,0,14,16,16
"ANXA2_MOUSE",0,0,0,14,11,21
"ADA_MOUSE",0,0,0,14,8,19
"ERP44_MOUSE",0,0,0,14,3,13
"PLSL_MOUSE",0,0,0,14,2,26
"UBA1_MOUSE",0,0,0,13,15,20
"EF1G_MOUSE",0,0,0,12,9,19
"TCPH_MOUSE",0,0,0,12,9,18
"P4HA1_MOUSE",0,0,0,12,6,13
"ERP29_MOUSE",0,0,0,12,1,9
"VINC_MOUSE",0,0,0,11,8,19
"TCPZ_MOUSE",0,0,0,11,8,16
"PPIB_MOUSE",0,0,0,11,6,12
"EZRI_MOUSE",0,0,0,11,5,12
"CAH2_MOUSE",0,0,0,11,5,12
"SYAC_MOUSE",0,0,0,10,10,12
"PSMD2_MOUSE",0,0,0,10,7,12
"GDIB_MOUSE",0,0,0,10,6,21
"ARP3_MOUSE",0,0,0,9,3,17
"TAGL2_MOUSE",0,0,0,9,3,10
"PDIA5_MOUSE",0,0,0,9,3,10
"HBAZ_MOUSE",0,0,0,9,3,9
"EIF3E_MOUSE",0,0,0,9,3,9
"PSMD1_MOUSE",0,0,0,8,2,14
"PGAM1_MOUSE",0,0,0,8,2,10
"NDKA_MOUSE",0,0,0,8,1,11
"HEM2_MOUSE",0,0,0,8,1,10
"MDHC_MOUSE",0,0,0,8,1,8
"CAN1_MOUSE",0,0,0,7,6,7
"DPP3_MOUSE",0,0,0,7,4,15
"PGM1_MOUSE",0,0,0,7,4,11
"RS3_MOUSE",0,0,0,7,4,10
"LMAN2_MOUSE",0,0,0,7,3,9
"CNDP2_MOUSE",0,0,0,7,1,13
"CLIC4_MOUSE",0,0,0,7,1,11
"RS8_MOUSE",0,0,0,6,4,5
"IF2G_MOUSE",0,0,0,6,3,8
"PR7A2_MOUSE",0,0,0,6,3,5
"CDC42_MOUSE",0,0,0,6,3,4
"TPIS_MOUSE",0,0,0,6,2,12
"PSMD6_MOUSE",0,0,0,6,2,6
"EIF3B_MOUSE",0,0,0,5,4,16
"SYCC_MOUSE",0,0,0,5,4,4
"TPP2_MOUSE",0,0,0,5,3,17
"PUR9_MOUSE",0,0,0,5,3,13
"2AAA_MOUSE",0,0,0,5,3,13
"PSMD3_MOUSE",0,0,0,5,3,9
"SYDC_MOUSE",0,0,0,4,4,9
"EIF3L_MOUSE",0,0,0,4,2,11
"6PGD_MOUSE",0,0,0,4,2,6
"GALK1_MOUSE",0,0,0,4,1,10
"LIS1_MOUSE",0,0,0,4,1,6
"DDB1_MOUSE",0,0,0,3,3,31
"FAS_MOUSE",0,0,0,3,1,22
"KINH_MOUSE",0,0,0,2,1,2
"GARS_MOUSE",0,0,0,1,4,6
"PSME2_MOUSE",0,0,0,1,1,5
"ALBU_MOUSE",2,1,4,9,0,19
"MTPN_MOUSE",0,1,1,1,0,2
"CYTB_MOUSE",0,4,0,3,0,4
"CH10_MOUSE",0,4,0,2,0,2
"FKBP2_MOUSE",0,2,0,4,0,3
"MIF_MOUSE",0,2,0,4,0,2
"RS20_MOUSE",0,2,0,3,0,3
"SDF2L_MOUSE",0,1,0,5,0,6
"EF1B_MOUSE",0,0,0,10,0,6
"AL9A1_MOUSE",0,0,0,6,0,11
"ARP2_MOUSE",0,0,0,6,0,10
"FBLN7_MOUSE",0,0,0,4,4,0
