"MouseGeneName","Accession.New.x","Accession.Number.x","P3.x","P4.x","P5.x","Accession.Number.uni.x","ProteinID.x","Accession.New.y","Accession.Number.y","P3.y","P4.y","P5.y","Accession.Number.uni.y","ProteinID.y","HumanGeneName"
"Abce1","ABCE1_MOUSE","ABCE1_MOUSE",5,0,2,"ABCE1_MOUSE","P61222","ABCE1_MOUSE","ABCE1_MOUSE",5,0,2,"ABCE1_MOUSE","P61222","ABCE1"
"Abcf1","ABCF1_MOUSE","ABCF1_MOUSE",1,2,7,"ABCF1_MOUSE","Q6P542","ABCF1_MOUSE","ABCF1_MOUSE",1,2,7,"ABCF1_MOUSE","Q6P542","ABCF1"
"Abracl","ABRAL_MOUSE","ABRAL_MOUSE",2,0,1,"ABRAL_MOUSE","Q4KML4","ABRAL_MOUSE","ABRAL_MOUSE",2,0,1,"ABRAL_MOUSE","Q4KML4","ABRACL"
"Acaa1a","THIKA_MOUSE","THIKA_MOUSE",1,0,1,"THIKA_MOUSE","Q921H8","THIKA_MOUSE","THIKA_MOUSE",1,0,1,"THIKA_MOUSE","Q921H8","ACAA1"
"Acly","ACLY_MOUSE","ACLY_MOUSE",0,3,13,"ACLY_MOUSE","Q91V92","ACLY_MOUSE","ACLY_MOUSE",0,3,13,"ACLY_MOUSE","Q91V92","ACLY"
"Actb","ACTB_MOUSE","ACTB_MOUSE",32,24,43,"ACTB_MOUSE","P60710","ACTB_MOUSE","ACTB_MOUSE",32,24,43,"ACTB_MOUSE","P60710","ACTB"
"Actbl2","ACTBL_MOUSE","ACTBL_MOUSE",0,8,13,"ACTBL_MOUSE","Q8BFZ3","ACTBL_MOUSE","ACTBL_MOUSE",0,8,13,"ACTBL_MOUSE","Q8BFZ3","ACTBL2"
"Actc1","ACTC_MOUSE","ACTC_MOUSE",16,13,18,"ACTC_MOUSE","P68033","ACTC_MOUSE","ACTC_MOUSE",16,13,18,"ACTC_MOUSE","P68033","ACTC1"
"Actg1","ACTG_MOUSE","ACTG_MOUSE",32,24,43,"ACTG_MOUSE","P63260","ACTG_MOUSE","ACTG_MOUSE",32,24,43,"ACTG_MOUSE","P63260","ACTG1"
"Actn1","ACTN1_MOUSE","ACTN1_MOUSE",0,6,13,"ACTN1_MOUSE","Q7TPR4","ACTN1_MOUSE","ACTN1_MOUSE",0,6,13,"ACTN1_MOUSE","Q7TPR4","ACTN1"
