"Accession.New","Accession.Number.ori","S3","S4","S5","P3","P4","P5","Accession.Number.uni","ProteinID","MouseGeneName"
"1433B_MOUSE","1433B_MOUSE",1,0,0,10,4,8,"1433B_MOUSE","Q9CQV8","Ywhab"
"1433E_MOUSE","1433E_MOUSE",1,0,0,9,7,10,"1433E_MOUSE","P62259","Ywhae"
"1433F_MOUSE","1433F_MOUSE",0,0,0,3,0,5,"1433F_MOUSE","P68510","Ywhah"
"1433G_MOUSE","1433G_MOUSE",0,0,0,8,6,6,"1433G_MOUSE","P61982","Ywhag"
"1433S_MOUSE","1433S_MOUSE",0,0,0,3,0,3,"1433S_MOUSE","O70456","Sfn"
"1433T_MOUSE","1433T_MOUSE",0,0,0,8,5,10,"1433T_MOUSE","P68254","Ywhaq"
"1433Z_MOUSE","1433Z_MOUSE",1,0,0,10,11,9,"1433Z_MOUSE","P63101","Ywhaz"
"2AAA_MOUSE","2AAA_MOUSE",0,0,0,5,3,13,"2AAA_MOUSE","Q76MZ3","Ppp2r1a"
"3BHS6_MOUSE","3BHS6_MOUSE",1,0,0,0,0,4,"3BHS6_MOUSE","O35469","Hsd3b6"
"4F2_MOUSE","4F2_MOUSE",0,0,0,3,3,4,"4F2_MOUSE","P10852","Slc3a2"
"6PGD_MOUSE","6PGD_MOUSE",0,0,0,4,2,6,"6PGD_MOUSE","Q9DCD0","Pgd"
"AATC_MOUSE","AATC_MOUSE",0,0,0,8,0,10,"AATC_MOUSE","P05201","Got1"
"AATM_MOUSE","AATM_MOUSE",0,0,0,1,0,8,"AATM_MOUSE","P05202","Got2"
"ABCE1_MOUSE","ABCE1_MOUSE",0,0,0,5,0,2,"ABCE1_MOUSE","P61222","Abce1"
"ABCF1_MOUSE","ABCF1_MOUSE",0,0,0,1,2,7,"ABCF1_MOUSE","Q6P542","Abcf1"
"ABRAL_MOUSE","ABRAL_MOUSE",0,0,0,2,0,1,"ABRAL_MOUSE","Q4KML4","Abracl"
"ACBP_MOUSE","ACBP_MOUSE",0,4,1,5,2,4,"ACBP_MOUSE","P31786","Dbi"
"ACLY_MOUSE","ACLY_MOUSE",0,0,0,0,3,13,"ACLY_MOUSE","Q91V92","Acly"
"ACTB_MOUSE","ACTB_MOUSE",13,6,11,32,24,43,"ACTB_MOUSE","P60710","Actb"
"ACTBL_MOUSE","ACTBL_MOUSE",0,0,0,0,8,13,"ACTBL_MOUSE","Q8BFZ3","Actbl2"
"ACTC_MOUSE","ACTC_MOUSE",0,0,0,16,13,18,"ACTC_MOUSE","P68033","Actc1"
"ACTG_MOUSE","ACTG_MOUSE",13,6,11,32,24,43,"ACTG_MOUSE","P63260","Actg1"
"ACTN1_MOUSE","ACTN1_MOUSE",0,0,0,0,6,13,"ACTN1_MOUSE","Q7TPR4","Actn1"
"ACTN4_MOUSE","ACTN4_MOUSE",0,0,0,7,8,16,"ACTN4_MOUSE","P57780","Actn4"
"ACTZ_MOUSE","ACTZ_MOUSE",0,0,0,2,0,6,"ACTZ_MOUSE","P61164","Actr1a"
"ADA_MOUSE","ADA_MOUSE",0,0,0,14,8,19,"ADA_MOUSE","P03958","Ada"
"ADHX_MOUSE","ADHX_MOUSE",0,0,0,4,0,7,"ADHX_MOUSE","P28474","Adh5"
"ADT1_MOUSE","ADT1_MOUSE",0,0,0,2,1,4,"ADT1_MOUSE","P48962","Slc25a4"
"ADT2_MOUSE","ADT2_MOUSE",0,0,0,2,0,3,"ADT2_MOUSE","P51881","Slc25a5"
"AGM1_MOUSE","AGM1_MOUSE",0,0,0,3,0,3,"AGM1_MOUSE","Q9CYR6","Pgm3"
"AHSA1_MOUSE","AHSA1_MOUSE",0,0,0,2,0,4,"AHSA1_MOUSE","Q8BK64","Ahsa1"
"AIMP1_MOUSE","AIMP1_MOUSE",0,0,0,3,0,5,"AIMP1_MOUSE","P31230","Aimp1"
"AIMP2_MOUSE","AIMP2_MOUSE",0,0,0,5,2,5,"AIMP2_MOUSE","Q8R010","Aimp2"
"AK1A1_MOUSE","AK1A1_MOUSE",0,0,0,3,0,4,"AK1A1_MOUSE","Q9JII6","Akr1a1"
"AL7A1_MOUSE","AL7A1_MOUSE",0,0,0,1,0,6,"AL7A1_MOUSE","Q9DBF1","Aldh7a1"
"AL9A1_MOUSE","AL9A1_MOUSE",0,0,0,6,0,11,"AL9A1_MOUSE","Q9JLJ2","Aldh9a1"
"ALBU_MOUSE","ALBU_MOUSE",2,1,4,9,0,19,"ALBU_MOUSE","P07724","Alb"
"ALDOA_MOUSE","ALDOA_MOUSE",1,1,0,11,1,18,"ALDOA_MOUSE","P05064","Aldoa"
"ALG5_MOUSE","ALG5_MOUSE",0,0,0,0,1,1,"ALG5_MOUSE","Q9DB25","Alg5"
"AMRP_MOUSE","AMRP_MOUSE",0,0,0,4,0,2,"AMRP_MOUSE","P55302","Lrpap1"
"ANX11_MOUSE","ANX11_MOUSE",0,0,0,7,5,12,"ANX11_MOUSE","P97384","Anxa11"
"ANXA2_MOUSE","ANXA2_MOUSE",0,0,0,14,11,21,"ANXA2_MOUSE","P07356","Anxa2"
"ANXA4_MOUSE","ANXA4_MOUSE",0,0,0,13,6,13,"ANXA4_MOUSE","P97429","Anxa4"
"ANXA5_MOUSE","ANXA5_MOUSE",0,0,0,15,9,17,"ANXA5_MOUSE","P48036","Anxa5"
"ANXA6_MOUSE","ANXA6_MOUSE",0,0,0,4,0,8,"ANXA6_MOUSE","P14824","Anxa6"
"ANXA7_MOUSE","ANXA7_MOUSE",0,0,0,5,0,8,"ANXA7_MOUSE","Q07076","Anxa7"
"AP1B1_MOUSE","AP1B1_MOUSE",0,0,0,1,1,0,"AP1B1_MOUSE","O35643","Ap1b1"
"APT_MOUSE","APT_MOUSE",0,0,0,9,3,10,"APT_MOUSE","P08030","Aprt"
"ARC1B_MOUSE","ARC1B_MOUSE",0,0,0,2,0,10,"ARC1B_MOUSE","Q9WV32","Arpc1b"
"ARF1_MOUSE","ARF1_MOUSE",0,0,0,7,3,7,"ARF1_MOUSE","P84078","Arf1"
"ARF4_MOUSE","ARF4_MOUSE",0,0,0,6,1,6,"ARF4_MOUSE","P61750","Arf4"
"ARHG6_MOUSE","ARHG6_MOUSE",0,0,0,6,8,12,"ARHG6_MOUSE","Q8K4I3","Arhgef6"
"ARL1_MOUSE","ARL1_MOUSE",0,0,0,1,1,1,"ARL1_MOUSE","P61211","Arl1"
"ARP2_MOUSE","ARP2_MOUSE",0,0,0,6,0,10,"ARP2_MOUSE","P61161","Actr2"
"ARP3_MOUSE","ARP3_MOUSE",0,0,0,9,3,17,"ARP3_MOUSE","Q99JY9","Actr3"
"ARPC2_MOUSE","ARPC2_MOUSE",0,0,0,5,1,7,"ARPC2_MOUSE","Q9CVB6","Arpc2"
"ARPC3_MOUSE","ARPC3_MOUSE",0,0,0,3,0,2,"ARPC3_MOUSE","Q9JM76","Arpc3"
"ARPC4_MOUSE","ARPC4_MOUSE",0,0,0,1,1,7,"ARPC4_MOUSE","P59999","Arpc4"
"ARPC5_MOUSE","ARPC5_MOUSE",0,0,0,2,0,3,"ARPC5_MOUSE","Q9CPW4","Arpc5"
"ASAP2_MOUSE","ASAP2_MOUSE",0,0,0,1,1,0,"ASAP2_MOUSE","Q7SIG6","Asap2"
"ASNS_MOUSE","ASNS_MOUSE",0,0,0,0,2,9,"ASNS_MOUSE","Q61024","Asns"
"ASSY_MOUSE","ASSY_MOUSE",1,0,0,3,0,8,"ASSY_MOUSE","P16460","Ass1"
"AT1A1_MOUSE","AT1A1_MOUSE",0,0,0,4,5,5,"AT1A1_MOUSE","Q8VDN2","Atp1a1"
"AT2A2_MOUSE","AT2A2_MOUSE",0,0,0,4,5,6,"AT2A2_MOUSE","O55143","Atp2a2"
"ATOX1_MOUSE","ATOX1_MOUSE",1,3,0,2,0,0,"ATOX1_MOUSE","O08997","Atox1"
"ATX10_MOUSE","ATX10_MOUSE",0,0,0,17,11,23,"ATX10_MOUSE","P28658","Atxn10"
"B3AT_MOUSE","B3AT_MOUSE",0,0,0,9,6,0,"B3AT_MOUSE","P04919","Slc4a1"
"BAP31_MOUSE","BAP31_MOUSE",0,0,0,1,1,3,"BAP31_MOUSE","Q61335","Bcap31"
"BASP1_MOUSE","BASP1_MOUSE",0,5,1,6,0,0,"BASP1_MOUSE","Q91XV3","Basp1"
"BAX_MOUSE","BAX_MOUSE",0,0,0,0,1,1,"BAX_MOUSE","Q07813","Bax"
"BIN2_MOUSE","BIN2_MOUSE",0,0,0,2,0,2,"BIN2_MOUSE","D3Z6Q9","Bin2"
"BIP_MOUSE","BIP_MOUSE",0,0,0,51,39,36,"GRP78_MOUSE","P20029","Hspa5"
"BZW1_MOUSE","BZW1_MOUSE",0,0,0,3,1,3,"BZW1_MOUSE","Q9CQC6","Bzw1"
"C1QT1_MOUSE","C1QT1_MOUSE",0,0,0,2,1,0,"C1QT1_MOUSE","Q9QXP7","C1qtnf1"
"CALM1_MOUSE","CALM1_MOUSE",0,0,3,11,1,4,"CALM1_MOUSE","P0DP26","Calm1"
"CALM2_MOUSE","CALM2_MOUSE",0,0,3,11,1,4,"CALM2_MOUSE","P0DP27","Calm2"
"CALM3_MOUSE","CALM3_MOUSE",0,0,3,11,1,4,"CALM3_MOUSE","P0DP28","Calm3"
"CALR_MOUSE","CALR_MOUSE",0,5,1,43,29,28,"CALR_MOUSE","P14211","Calr"
"CALU_MOUSE","CALU_MOUSE",0,4,0,10,3,12,"CALU_MOUSE","O35887","Calu"
"CALX_MOUSE","CALX_MOUSE",0,0,0,14,16,16,"CALX_MOUSE","P35564","Canx"
"CAN1_MOUSE","CAN1_MOUSE",0,0,0,7,6,7,"CAN1_MOUSE","O35350","Capn1"
"CAND1_MOUSE","CAND1_MOUSE",0,0,0,17,6,17,"CAND1_MOUSE","Q6ZQ38","Cand1"
"CAP1_MOUSE","CAP1_MOUSE",1,0,0,10,9,16,"CAP1_MOUSE","P40124","Cap1"
"CAPG_MOUSE","CAPG_MOUSE",0,0,0,5,2,7,"CAPG_MOUSE","P24452","Capg"
"CAPZB_MOUSE","CAPZB_MOUSE",0,0,0,5,3,8,"CAPZB_MOUSE","P47757","Capzb"
"CATB_MOUSE","CATB_MOUSE",0,0,0,3,0,7,"CATB_MOUSE","P10605","Ctsb"
"CATD_MOUSE","CATD_MOUSE",0,0,0,1,0,3,"CATD_MOUSE","P18242","Ctsd"
"CAZA1_MOUSE","CAZA1_MOUSE",0,0,0,2,2,9,"CAZA1_MOUSE","P47753","Capza1"
"CAZA2_MOUSE","CAZA2_MOUSE",0,0,0,0,1,7,"CAZA2_MOUSE","P47754","Capza2"
"CCDC6_MOUSE","CCDC6_MOUSE",0,0,0,0,1,1,"CCDC6_MOUSE","D3YZP9","Ccdc6"
"CDC37_MOUSE","CDC37_MOUSE",0,0,0,2,3,4,"CDC37_MOUSE","Q61081","Cdc37"
"CDC42_MOUSE","CDC42_MOUSE",0,0,0,6,3,4,"CDC42_MOUSE","P60766","Cdc42"
"CDV3_MOUSE","CDV3_MOUSE",0,1,0,0,0,2,"CDV3_MOUSE","Q4VAA2","Cdv3"
"CEAM5_MOUSE","CEAM5_MOUSE",0,0,0,18,12,23,"CEAM5_MOUSE","Q3UKK2","Ceacam5"
"CH10_MOUSE","CH10_MOUSE",0,4,0,2,0,2,"CH10_MOUSE","Q64433","Hspe1"
"CH60_MOUSE","CH60_MOUSE",0,0,0,11,2,13,"CH60_MOUSE","P63038","Hspd1"
"CHSP1_MOUSE","CHSP1_MOUSE",0,1,0,0,0,2,"CHSP1_MOUSE","Q9CR86","Carhsp1"
"CISY_MOUSE","CISY_MOUSE",0,0,0,1,0,4,"CISY_MOUSE","Q9CZU6","Cs"
"CKAP4_MOUSE","CKAP4_MOUSE",0,0,0,9,10,13,"CKAP4_MOUSE","Q8BMK4","Ckap4"
"CLH1_MOUSE","CLH1_MOUSE",0,0,0,9,5,30,"CLH1_MOUSE","Q68FD5","Cltc"
"CLIC4_MOUSE","CLIC4_MOUSE",0,0,0,7,1,11,"CLIC4_MOUSE","Q9QYB1","Clic4"
"CMTR2_MOUSE","CMTR2_MOUSE",0,0,0,0,1,1,"CMTR2_MOUSE","Q8BWQ4","Cmtr2"
"CNDP2_MOUSE","CNDP2_MOUSE",0,0,0,7,1,13,"CNDP2_MOUSE","Q9D1A2","Cndp2"
"CNPY2_MOUSE","CNPY2_MOUSE",0,0,0,3,0,2,"CNPY2_MOUSE","Q9QXT0","Cnpy2"
