"","EVT-24w","CTB-8w","EVT-8w","STB-8w","STR-8w"
"ARNT",0.0681564349376337,-0.195848656718429,0.447078375852987,0.253795546977851,-0.314537579544025
"ARNT2",1.2495226654504,-0.520296310563134,0.227103713312762,1.11969474256199,-0.507085205082435
"BARX2",0.60558726015047,0.0470469012872765,-0.132838685392918,-0.161745910350728,-0.111834216147736
"E2F1",-0.304681229051652,0.0232590376528718,-0.06775528119916,-0.273843073165257,0.178334367272516
"ERG",-0.10079444780807,0.0186740064053599,-0.0687020885908376,-0.10079444780807,0.0520203603752984
"FOS",1.01193664601729,-0.261463702237729,0.330550858830331,0.175204142804239,-0.517445839248997
"GATA1",-0.307959017930292,-0.305105049458866,-0.292465021948771,-0.313675325372262,0.501468830473282
"HSF1",-0.132728629393562,-0.190804411214494,0.170749440715981,-0.50696825601049,0.0493662052521903
"HSF2",0.217634664999148,0.11344817356249,-0.00996220889201961,-0.136923881984608,-0.103252756529212
"IRF4",-0.094290902074312,-0.094290902074312,-0.094290902074312,-0.094290902074312,0.119983185081217
"KLF1",-0.348769441885304,-0.327746918297019,-0.325297713242546,-0.348769441885304,0.554901379456431
"KLF3",-0.0084366818076528,-0.238921606257855,-0.251635279081789,0.974884926946464,0.200345531264567
"MAX",0.521234283489245,-0.293641351532211,-0.00601275900342109,0.591031524364357,-0.11272645324662
"MYC",0.186177207758381,-0.328151458518493,-0.145165788873824,-0.942967950917175,0.289672282862965
"MYCN",0.413126162850962,-0.56437202145052,0.818346927786139,0.249385677116609,-0.564794890243856
"NRF1",0.0299549514259174,-0.194668740486938,0.0482554203996278,0.830877637071559,-0.0511727955913144
"SP1",0.36052296887352,-0.12568562925964,-0.0768275941763857,1.09912644587226,-0.127505509917027
"TBP",0.225460753104277,-0.185455980565662,0.192019773770083,0.667631733292278,-0.218658964148859
"TFE3",0.0675458791556176,0.0631827184686778,-0.40340034414949,0.28791376792831,0.233441243291086
"USF1",0.0608661843571187,-0.122828657841539,0.168973958871876,-0.0947155534771976,-0.0899390645554002
"WT1",-0.150394919802304,-0.189316804494044,-0.101845766217122,-0.170066209733541,0.232178684997874
"XBP1",0.507219322690339,-0.281320599979947,0.361812998716922,0.861846555881228,-0.42871941120402
"ZFHX3",0.451772810479787,0.29647955675683,-0.250721471010175,-0.294669594465895,-0.0601627903340883
