"Accession.Number","S3","S4","S5","P3","P4","P5","ProteinID","Accession.New","MouseGeneName"
"1433B_MOUSE",1,0,0,10,4,8,"Q9CQV8","1433B_MOUSE","Ywhab"
"1433E_MOUSE",1,0,0,9,7,10,"P62259","1433E_MOUSE","Ywhae"
"1433F_MOUSE",0,0,0,3,0,5,"P68510","1433F_MOUSE","Ywhah"
"1433G_MOUSE",0,0,0,8,6,6,"P61982","1433G_MOUSE","Ywhag"
"1433S_MOUSE",0,0,0,3,0,3,"O70456","1433S_MOUSE","Sfn"
"1433T_MOUSE",0,0,0,8,5,10,"P68254","1433T_MOUSE","Ywhaq"
"1433Z_MOUSE",1,0,0,10,11,9,"P63101","1433Z_MOUSE","Ywhaz"
"2AAA_MOUSE",0,0,0,5,3,13,"Q76MZ3","2AAA_MOUSE","Ppp2r1a"
"3BHS6_MOUSE",1,0,0,0,0,4,"O35469","3BHS6_MOUSE","Hsd3b6"
"4F2_MOUSE",0,0,0,3,3,4,"P10852","4F2_MOUSE","Slc3a2"
"6PGD_MOUSE",0,0,0,4,2,6,"Q9DCD0","6PGD_MOUSE","Pgd"
"AATC_MOUSE",0,0,0,8,0,10,"P05201","AATC_MOUSE","Got1"
"AATM_MOUSE",0,0,0,1,0,8,"P05202","AATM_MOUSE","Got2"
"ABCE1_MOUSE",0,0,0,5,0,2,"P61222","ABCE1_MOUSE","Abce1"
"ABCF1_MOUSE",0,0,0,1,2,7,"Q6P542","ABCF1_MOUSE","Abcf1"
"ABRAL_MOUSE",0,0,0,2,0,1,"Q4KML4","ABRAL_MOUSE","Abracl"
"ACBP_MOUSE",0,4,1,5,2,4,"P31786","ACBP_MOUSE","Dbi"
"ACLY_MOUSE",0,0,0,0,3,13,"Q91V92","ACLY_MOUSE","Acly"
"ACTB_MOUSE",13,6,11,32,24,43,"P60710","ACTB_MOUSE","Actb"
"ACTBL_MOUSE",0,0,0,0,8,13,"Q8BFZ3","ACTBL_MOUSE","Actbl2"
"ACTC_MOUSE",0,0,0,16,13,18,"P68033","ACTC_MOUSE","Actc1"
"ACTG_MOUSE",13,6,11,32,24,43,"P63260","ACTG_MOUSE","Actg1"
"ACTN1_MOUSE",0,0,0,0,6,13,"Q7TPR4","ACTN1_MOUSE","Actn1"
"ACTN4_MOUSE",0,0,0,7,8,16,"P57780","ACTN4_MOUSE","Actn4"
"ACTZ_MOUSE",0,0,0,2,0,6,"P61164","ACTZ_MOUSE","Actr1a"
"ADA_MOUSE",0,0,0,14,8,19,"P03958","ADA_MOUSE","Ada"
"ADHX_MOUSE",0,0,0,4,0,7,"P28474","ADHX_MOUSE","Adh5"
"ADT1_MOUSE",0,0,0,2,1,4,"P48962","ADT1_MOUSE","Slc25a4"
"ADT2_MOUSE",0,0,0,2,0,3,"P51881","ADT2_MOUSE","Slc25a5"
"AGM1_MOUSE",0,0,0,3,0,3,"Q9CYR6","AGM1_MOUSE","Pgm3"
"AHSA1_MOUSE",0,0,0,2,0,4,"Q8BK64","AHSA1_MOUSE","Ahsa1"
"AIMP1_MOUSE",0,0,0,3,0,5,"P31230","AIMP1_MOUSE","Aimp1"
"AIMP2_MOUSE",0,0,0,5,2,5,"Q8R010","AIMP2_MOUSE","Aimp2"
"AK1A1_MOUSE",0,0,0,3,0,4,"Q9JII6","AK1A1_MOUSE","Akr1a1"
"AL7A1_MOUSE",0,0,0,1,0,6,"Q9DBF1","AL7A1_MOUSE","Aldh7a1"
"AL9A1_MOUSE",0,0,0,6,0,11,"Q9JLJ2","AL9A1_MOUSE","Aldh9a1"
"ALBU_MOUSE",2,1,4,9,0,19,"P07724","ALBU_MOUSE","Alb"
"ALDOA_MOUSE",1,1,0,11,1,18,"P05064","ALDOA_MOUSE","Aldoa"
"ALG5_MOUSE",0,0,0,0,1,1,"Q9DB25","ALG5_MOUSE","Alg5"
"AMRP_MOUSE",0,0,0,4,0,2,"P55302","AMRP_MOUSE","Lrpap1"
"ANX11_MOUSE",0,0,0,7,5,12,"P97384","ANX11_MOUSE","Anxa11"
"ANXA2_MOUSE",0,0,0,14,11,21,"P07356","ANXA2_MOUSE","Anxa2"
"ANXA4_MOUSE",0,0,0,13,6,13,"P97429","ANXA4_MOUSE","Anxa4"
"ANXA5_MOUSE",0,0,0,15,9,17,"P48036","ANXA5_MOUSE","Anxa5"
"ANXA6_MOUSE",0,0,0,4,0,8,"P14824","ANXA6_MOUSE","Anxa6"
"ANXA7_MOUSE",0,0,0,5,0,8,"Q07076","ANXA7_MOUSE","Anxa7"
"AP1B1_MOUSE",0,0,0,1,1,0,"O35643","AP1B1_MOUSE","Ap1b1"
"APT_MOUSE",0,0,0,9,3,10,"P08030","APT_MOUSE","Aprt"
"ARC1B_MOUSE",0,0,0,2,0,10,"Q9WV32","ARC1B_MOUSE","Arpc1b"
"ARF1_MOUSE",0,0,0,7,3,7,"P84078","ARF1_MOUSE","Arf1"
"ARF4_MOUSE",0,0,0,6,1,6,"P61750","ARF4_MOUSE","Arf4"
"ARHG6_MOUSE",0,0,0,6,8,12,"Q8K4I3","ARHG6_MOUSE","Arhgef6"
"ARL1_MOUSE",0,0,0,1,1,1,"P61211","ARL1_MOUSE","Arl1"
"ARP2_MOUSE",0,0,0,6,0,10,"P61161","ARP2_MOUSE","Actr2"
"ARP3_MOUSE",0,0,0,9,3,17,"Q99JY9","ARP3_MOUSE","Actr3"
"ARPC2_MOUSE",0,0,0,5,1,7,"Q9CVB6","ARPC2_MOUSE","Arpc2"
"ARPC3_MOUSE",0,0,0,3,0,2,"Q9JM76","ARPC3_MOUSE","Arpc3"
"ARPC4_MOUSE",0,0,0,1,1,7,"P59999","ARPC4_MOUSE","Arpc4"
"ARPC5_MOUSE",0,0,0,2,0,3,"Q9CPW4","ARPC5_MOUSE","Arpc5"
"ASAP2_MOUSE",0,0,0,1,1,0,"Q7SIG6","ASAP2_MOUSE","Asap2"
"ASNS_MOUSE",0,0,0,0,2,9,"Q61024","ASNS_MOUSE","Asns"
