Accession.Number,ProteinID,Accession.New,MouseGeneName,,,,
LEG1_MOUSE,P16045,LEG1_MOUSE,Lgals1,,,,
ENPL_MOUSE,P08113,ENPL_MOUSE,Hsp90b1,,,,
HS90B_MOUSE,P11499,HS90B_MOUSE,Hsp90ab1,,,,
HS90A_MOUSE,P07901,HS90A_MOUSE,Hsp90aa1,,,,
HSP7C_MOUSE,P63017,HSP7C_MOUSE,Hspa8,,,,
ALDOA_MOUSE,P05064,ALDOA_MOUSE,Aldoa,,,,
TBA1C_MOUSE,P68373,TBA1C_MOUSE,Tuba1c,,,,
IF4A1_MOUSE,P60843,IF4A1_MOUSE,Eif4a1,,,,
ENOA_MOUSE,P17182,ENOA_MOUSE,Eno1,,,,
1433Z_MOUSE,P63101,1433Z_MOUSE,Ywhaz,,,,
DJB11_MOUSE,Q99KV1,DJB11_MOUSE,Dnajb11,,,,
1433E_MOUSE,P62259,1433E_MOUSE,Ywhae,,,,
PDLI1_MOUSE,O70400,PDLI1_MOUSE,Pdlim1,,,,
CALU_MOUSE,O35887,CALU_MOUSE,Calu,,,,
COF1_MOUSE,P18760,COF1_MOUSE,Cfl1,,,,
PDIA1_MOUSE,P09103,PDIA1_MOUSE,P4hb,,,,
SERPH_MOUSE,P19324,SERPH_MOUSE,Serpinh1,,,,
GDIR1_MOUSE,Q99PT1,GDIR1_MOUSE,Arhgdia,,,,
DEST_MOUSE,Q9R0P5,DEST_MOUSE,Dstn,,,,
PGK1_MOUSE,P09411,PGK1_MOUSE,Pgk1,,,,
TLN1_MOUSE,P26039,TLN1_MOUSE,Tln1,,,,
UGGG1_MOUSE,Q6P5E4,UGGG1_MOUSE,Uggt1,,,,
PDIA3_MOUSE,P27773,PDIA3_MOUSE,Pdia3,,,,
TERA_MOUSE,Q01853,TERA_MOUSE,Vcp,,,,
HYOU1_MOUSE,Q9JKR6,HYOU1_MOUSE,Hyou1,,,,
DYHC1_MOUSE,Q9JHU4,DYHC1_MOUSE,Dync1h1,,,,
MYH9_MOUSE,Q8VDD5,MYH9_MOUSE,Myh9,,,,
GANAB_MOUSE,Q8BHN3,GANAB_MOUSE,Ganab,,,,
TGM2_MOUSE,P21981,TGM2_MOUSE,Tgm2,,,,
CEAM5_MOUSE,Q3UKK2,CEAM5_MOUSE,Ceacam5,,,,
TCPB_MOUSE,P80314,TCPB_MOUSE,Cct2,,,,
ERO1A_MOUSE,Q8R180,ERO1A_MOUSE,Ero1a,,,,
TCPG_MOUSE,P80318,TCPG_MOUSE,Cct3,,,,
ATX10_MOUSE,P28658,ATX10_MOUSE,Atxn10,,,,
USO1_MOUSE,Q9Z1Z0,USO1_MOUSE,Uso1,,,,
TCPA_MOUSE,P11983,TCPA_MOUSE,Tcp1,,,,
DNJC3_MOUSE,Q91YW3,DNJC3_MOUSE,Dnajc3,,,,
CALX_MOUSE,P35564,CALX_MOUSE,Canx,,,,
ANXA2_MOUSE,P07356,ANXA2_MOUSE,Anxa2,,,,
ADA_MOUSE,P03958,ADA_MOUSE,Ada,,,,
ERP44_MOUSE,Q9D1Q6,ERP44_MOUSE,Erp44,,,,
PLSL_MOUSE,Q61233,PLSL_MOUSE,Lcp1,,,,
UBA1_MOUSE,Q02053,UBA1_MOUSE,Uba1,,,,
EF1G_MOUSE,Q9D8N0,EF1G_MOUSE,Eef1g,,,,
TCPH_MOUSE,P80313,TCPH_MOUSE,Cct7,,,,
P4HA1_MOUSE,Q60715,P4HA1_MOUSE,P4ha1,,,,
ERP29_MOUSE,P57759,ERP29_MOUSE,Erp29,,,,
VINC_MOUSE,Q64727,VINC_MOUSE,Vcl,,,,
TCPZ_MOUSE,P80317,TCPZ_MOUSE,Cct6a,,,,
PPIB_MOUSE,P24369,PPIB_MOUSE,Ppib,,,,
EZRI_MOUSE,P26040,EZRI_MOUSE,Ezr,,,,
CAH2_MOUSE,P00920,CAH2_MOUSE,Ca2,,,,
SYAC_MOUSE,Q8BGQ7,SYAC_MOUSE,Aars1,,,,
PSMD2_MOUSE,Q8VDM4,PSMD2_MOUSE,Psmd2,,,,
GDIB_MOUSE,Q61598,GDIB_MOUSE,Gdi2,,,,
ARP3_MOUSE,Q99JY9,ARP3_MOUSE,Actr3,,,,
