"Accession.New","MouseGeneName","ProteinID","Description","Sample1","Sample2","Sample3","Sample4","Sample5","10lgP","UniquePeptide","Accession.Number.ori","Accession.Number"
"LAMA1_MOUSE","Lama1","P19137","Laminin subunit alpha-1 OS=Mus musculus GN=Lama1 PE=1 SV=1",135,273,118,137,178,712.67,217,"P19137|LAMA1_MOUSE","LAMA1_MOUSE"
"LAMB1_MOUSE","Lamb1","P02469","Laminin subunit beta-1 OS=Mus musculus GN=Lamb1 PE=1 SV=3",135,240,101,147,198,687.8,184,"P02469|LAMB1_MOUSE","LAMB1_MOUSE"
"LAMC1_MOUSE","Lamc1","P02468","Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2",141,251,116,156,181,632.9,186,"P02468|LAMC1_MOUSE","LAMC1_MOUSE"
"FLNB_MOUSE","Flnb","Q80X90","Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3",100,108,97,84,108,540.35,126,"Q80X90|FLNB_MOUSE","FLNB_MOUSE"
"MYH9_MOUSE","Myh9","Q8VDD5","Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4",120,133,113,112,137,530.64,96,"Q8VDD5|MYH9_MOUSE","MYH9_MOUSE"
"FLNA_MOUSE","Flna","Q8BTM8","Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5",87,106,56,82,75,524.76,114,"Q8BTM8|FLNA_MOUSE","FLNA_MOUSE"
"TLN1_MOUSE","Tln1","P26039","Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2",63,66,51,57,71,505.87,82,"P26039|TLN1_MOUSE","TLN1_MOUSE"
"CLH1_MOUSE","Cltc","Q68FD5","Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3",75,55,64,63,68,475.89,86,"Q68FD5|CLH1_MOUSE","CLH1_MOUSE"
"ACTB_MOUSE","Actb","P60710","Actin  cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1",153,140,135,136,164,465.3,40,"P60710|ACTB_MOUSE","ACTB_MOUSE"
"CO1A1_MOUSE","Col1a1","P11087","Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4",30,39,11,25,30,461.16,46,"P11087|CO1A1_MOUSE","CO1A1_MOUSE"
"NID1_MOUSE","Nid1","P10493","Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2",64,88,36,46,54,457.82,70,"P10493|NID1_MOUSE","NID1_MOUSE"
"TBA1A_MOUSE","Tuba1a","P68369","Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1",43,51,51,68,69,456.15,2,"P68369|TBA1A_MOUSE","TBA1A_MOUSE"
"TBA1C_MOUSE","Tuba1c","P68373","Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1",41,47,50,65,67,449.15,2,"P68373|TBA1C_MOUSE","TBA1C_MOUSE"
"TBB5_MOUSE","Tubb5","P99024","Tubulin beta-5 chain OS=Mus musculus GN=Tubb5 PE=1 SV=1",65,58,64,52,48,443.26,5,"P99024|TBB5_MOUSE","TBB5_MOUSE"
"IQGA1_MOUSE","Iqgap1","Q9JKF1","Ras GTPase-activating-like protein IQGAP1 OS=Mus musculus GN=Iqgap1 PE=1 SV=2",45,36,32,33,40,442.05,58,"Q9JKF1|IQGA1_MOUSE","IQGA1_MOUSE"
"DYHC1_MOUSE","Dync1h1","Q9JHU4","Cytoplasmic dynein 1 heavy chain 1 OS=Mus musculus GN=Dync1h1 PE=1 SV=2",59,28,42,44,44,439.8,83,"Q9JHU4|DYHC1_MOUSE","DYHC1_MOUSE"
"EF1A1_MOUSE","Eef1a1","P10126","Elongation factor 1-alpha 1 OS=Mus musculus GN=Eef1a1 PE=1 SV=3",78,87,108,107,140,433.28,49,"P10126|EF1A1_MOUSE","EF1A1_MOUSE"
"CALR_MOUSE","Calr","P14211","Calreticulin OS=Mus musculus GN=Calr PE=1 SV=1",45,43,50,45,51,432.16,48,"P14211|CALR_MOUSE","CALR_MOUSE"
"PDIA1_MOUSE","P4hb","P09103","Protein disulfide-isomerase OS=Mus musculus GN=P4hb PE=1 SV=2",58,71,45,54,65,432.05,58,"P09103|PDIA1_MOUSE","PDIA1_MOUSE"
"PLEC_MOUSE","Plec","Q9QXS1","Plectin OS=Mus musculus GN=Plec PE=1 SV=3",48,26,40,31,39,431.7,67,"Q9QXS1|PLEC_MOUSE","PLEC_MOUSE"
"BIP_MOUSE","Hspa5","P20029","78 kDa glucose-regulated protein OS=Mus musculus GN=Hspa5 PE=1 SV=3",63,89,61,58,76,428.4,55,"P20029|GRP78_MOUSE","GRP78_MOUSE"
"ACTN1_MOUSE","Actn1","Q7TPR4","Alpha-actinin-1 OS=Mus musculus GN=Actn1 PE=1 SV=1",54,43,44,38,44,424.39,37,"Q7TPR4|ACTN1_MOUSE","ACTN1_MOUSE"
"VIME_MOUSE","Vim","P20152","Vimentin OS=Mus musculus GN=Vim PE=1 SV=3",56,119,58,73,83,423.23,53,"P20152|VIME_MOUSE","VIME_MOUSE"
"DESM_MOUSE","Des","P31001","Desmin OS=Mus musculus GN=Des PE=1 SV=3",43,60,64,50,78,417.51,47,"P31001|DESM_MOUSE","DESM_MOUSE"
"KPYM_MOUSE","Pkm","P52480","Pyruvate kinase PKM OS=Mus musculus GN=Pkm PE=1 SV=4",47,48,43,42,41,416.41,50,"P52480|KPYM_MOUSE","KPYM_MOUSE"
"HSP7C_MOUSE","Hspa8","P63017","Heat shock cognate 71 kDa protein OS=Mus musculus GN=Hspa8 PE=1 SV=1",82,80,60,69,77,415.74,42,"P63017|HSP7C_MOUSE","HSP7C_MOUSE"
"EF2_MOUSE","Eef2","P58252","Elongation factor 2 OS=Mus musculus GN=Eef2 PE=1 SV=2",58,59,48,54,72,413.1,59,"P58252|EF2_MOUSE","EF2_MOUSE"
"TGM2_MOUSE","Tgm2","P21981","Protein-glutamine gamma-glutamyltransferase 2 OS=Mus musculus GN=Tgm2 PE=1 SV=4",28,40,37,37,47,413.08,49,"P21981|TGM2_MOUSE","TGM2_MOUSE"
"K1C18_MOUSE","Krt18","P05784","Keratin  type I cytoskeletal 18 OS=Mus musculus GN=Krt18 PE=1 SV=5",34,71,54,36,36,412.74,33,"P05784|K1C18_MOUSE","K1C18_MOUSE"
"SPTN1_MOUSE","Sptan1","P16546","Spectrin alpha chain  non-erythrocytic 1 OS=Mus musculus GN=Sptan1 PE=1 SV=4",24,20,11,24,23,411.24,41,"P16546|SPTN1_MOUSE","SPTN1_MOUSE"
"TBB2B_MOUSE","Tubb2b","Q9CWF2","Tubulin beta-2B chain OS=Mus musculus GN=Tubb2b PE=1 SV=1",58,53,56,40,35,410.76,4,"Q9CWF2|TBB2B_MOUSE","TBB2B_MOUSE"
