"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number"
"Q91VB8_MOUSE","Hba-a1","Alpha globin 1 OS=Mus musculus OX=10090 GN=Hba-a1 PE=1 SV=1",13,16,10,16,10,"Q91VB8_MOUSE","Q91VB8_MOUSE"
"A8DUK4_MOUSE","Hbb-bs","Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1",17,19,16,20,18,"A8DUK4_MOUSE","A8DUK4_MOUSE"
"G5E899_MOUSE","Serpine1","Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1",23,23,23,23,23,"G5E899_MOUSE","G5E899_MOUSE"
"A0A087WR50_MOUSE","Fn1","Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1",83,67,67,81,78,"A0A087WR50_MOUSE","A0A087WR50_MOUSE"
"BIP_MOUSE","Hspa5","Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3",39,39,35,38,38,"BIP_MOUSE","BIP_MOUSE"
"FLNB_MOUSE","Flnb","Filamin-B OS=Mus musculus OX=10090 GN=Flnb PE=1 SV=3",106,86,80,104,98,"FLNB_MOUSE","FLNB_MOUSE"
"PDIA1_MOUSE","P4hb","Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2",31,29,30,32,30,"PDIA1_MOUSE","PDIA1_MOUSE"
"ACTB_MOUSE","Actb","Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1",18,18,15,17,18,"ACTB_MOUSE (+1)","ACTB_MOUSE"
"PR2A1_MOUSE","Prl2a1","Prolactin-2A1 OS=Mus musculus OX=10090 GN=Prl2a1 PE=2 SV=1",12,12,12,13,12,"PR2A1_MOUSE","PR2A1_MOUSE"
"DESM_MOUSE","Des","Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3",35,34,32,39,36,"DESM_MOUSE","DESM_MOUSE"
"PDIA3_MOUSE","Pdia3","Protein disulfide-isomerase A3 OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=2",31,28,32,30,32,"PDIA3_MOUSE","PDIA3_MOUSE"
"FETA_MOUSE","Afp","Alpha-fetoprotein OS=Mus musculus OX=10090 GN=Afp PE=2 SV=1",35,19,30,34,35,"FETA_MOUSE","FETA_MOUSE"
"ALDOA_MOUSE","Aldoa","Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2",23,19,17,18,19,"ALDOA_MOUSE","ALDOA_MOUSE"
"CALR_MOUSE","Calr","Calreticulin OS=Mus musculus OX=10090 GN=Calr PE=1 SV=1",23,21,19,22,21,"CALR_MOUSE","CALR_MOUSE"
"ACTN4_MOUSE","Actn4","Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1",52,43,40,49,50,"ACTN4_MOUSE","ACTN4_MOUSE"
"B7FAU9_MOUSE","Flna","Filamin, alpha OS=Mus musculus OX=10090 GN=Flna PE=1 SV=1",77,59,58,81,79,"B7FAU9_MOUSE (+1)","B7FAU9_MOUSE"
"Q9DAV5_MOUSE","Psg21","MCG140256 OS=Mus musculus OX=10090 GN=Psg21 PE=1 SV=1",20,18,16,19,19,"Q9DAV5_MOUSE","Q9DAV5_MOUSE"
"HSP7C_MOUSE","Hspa8","Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1",31,28,25,30,29,"HSP7C_MOUSE","HSP7C_MOUSE"
"HS90B_MOUSE","Hsp90ab1","Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3",34,36,24,36,38,"HS90B_MOUSE","HS90B_MOUSE"
"MYH9_MOUSE","Myh9","Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4",61,48,43,72,64,"MYH9_MOUSE","MYH9_MOUSE"
"MOES_MOUSE","Msn","Moesin OS=Mus musculus OX=10090 GN=Msn PE=1 SV=3",41,37,32,36,39,"MOES_MOUSE","MOES_MOUSE"
