"Accession.New","MouseGeneName","Description","Sample1","Sample2","Sample3","Sample4","Sample5","Accession.Number.ori","Accession.Number","ProteinID"
"A0A0R4J0V8_MOUSE","Ctsj","Cathepsin J OS=Mus musculus OX=10090 GN=Ctsj PE=1 SV=1",17,10,13,16,16,"A0A0R4J0V8_MOUSE (+1)","A0A0R4J0V8_MOUSE","A0A0R4J0V8"
"A0A0R4J182_MOUSE","Ctsm","Cathepsin M OS=Mus musculus OX=10090 GN=Ctsm PE=3 SV=1",7,4,0,6,5,"A0A0R4J182_MOUSE (+1)","A0A0R4J182_MOUSE","A0A0R4J182"
"A0A286YD45_MOUSE","Tpbpb","Trophoblast-specific protein beta OS=Mus musculus OX=10090 GN=Tpbpb PE=1 SV=1",6,5,2,5,5,"A0A286YD45_MOUSE (+1)","A0A286YD45_MOUSE","A0A286YD45"
"B1AQZ0_MOUSE","Sept8","Septin-8 OS=Mus musculus OX=10090 GN=Sept8 PE=1 SV=1",3,3,0,4,3,"B1AQZ0_MOUSE","B1AQZ0_MOUSE","B1AQZ0"
"B2RSG7_MOUSE","Psg18","Pregnancy-specific glycoprotein 18 OS=Mus musculus OX=10090 GN=Psg18 PE=2 SV=1",6,3,0,5,4,"B2RSG7_MOUSE","B2RSG7_MOUSE","B2RSG7"
"B8JJN0_MOUSE","Gm20547","Predicted gene 20547 OS=Mus musculus OX=10090 GN=Gm20547 PE=3 SV=1",14,7,5,19,11,"B8JJN0_MOUSE","B8JJN0_MOUSE","B8JJN0"
"CATR_MOUSE","Ctsr","Cathepsin R OS=Mus musculus OX=10090 GN=Ctsr PE=2 SV=1",3,2,0,2,2,"CATR_MOUSE","CATR_MOUSE","Q9JIA9"
"CEAM5_MOUSE","Ceacam5","Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Mus musculus OX=10090 GN=Ceacam5 PE=2 SV=1",31,27,19,28,25,"CEAM5_MOUSE","CEAM5_MOUSE","Q3UKK2"
"CTL2A_MOUSE","Ctla2a","Protein CTLA-2-alpha OS=Mus musculus OX=10090 GN=Ctla2a PE=2 SV=2",9,9,9,9,10,"CTL2A_MOUSE","CTL2A_MOUSE","P12399"
"D0VY58_MOUSE","Psg16","Pregnancy-specific glycoprotein OS=Mus musculus OX=10090 GN=Psg16 PE=1 SV=1",11,9,5,9,10,"D0VY58_MOUSE","D0VY58_MOUSE","D0VY58"
"D3YXQ6_MOUSE","Psg16","Pregnancy-specific glycoprotein 16 (Fragment) OS=Mus musculus OX=10090 GN=Psg16 PE=4 SV=1",4,3,2,4,3,"D3YXQ6_MOUSE","D3YXQ6_MOUSE","D3YXQ6"
"E9Q6J4_MOUSE","Ceacam3","Carcinoembryonic antigen-related cell adhesion molecule 3 OS=Mus musculus OX=10090 GN=Ceacam3 PE=4 SV=2",7,4,0,4,4,"E9Q6J4_MOUSE","E9Q6J4_MOUSE","E9Q6J4"
"E9Q6J7_MOUSE","Psg22","Pregnancy-specific glycoprotein 22 OS=Mus musculus OX=10090 GN=Psg22 PE=4 SV=1",6,4,5,3,7,"E9Q6J7_MOUSE (+1)","E9Q6J7_MOUSE","E9Q6J7"
"E9Q745_MOUSE","1600015I10Rik","Amine oxidase OS=Mus musculus OX=10090 GN=1600015I10Rik PE=3 SV=1",7,4,3,5,4,"E9Q745_MOUSE","E9Q745_MOUSE","E9Q745"
