"MouseGeneName","HumanGeneName"
"Gm25456","AC008752.1"
"mt-Nd5","MT-ND5"
"mt-Nd3","MT-ND3"
"Gm22334","AC008752.1"
"Gm23699","AC008752.1"
"mt-Nd4","MT-ND4"
"Gm24608","AL049745.1"
"Gm22362","AC008752.1"
"Gm24992","AC008752.1"
"mt-Atp8","MT-ATP8"
"mt-Co1","MT-CO1"
"Gm25979","AC008752.1"
"Gm22294","RNU6-717P"
"Gm26169","AC008752.1"
"Gm22422","AC008752.1"
"Mir9-2","MIR9-2"
"mt-Nd1","MT-ND1"
"Gm26368","AC008752.1"
"mt-Cytb","MT-CYB"
"Mir27a","MIR27A"
"Gm24616","SNORA4"
"Gm25999","AC008752.1"
"Gm22857","AC008752.1"
"Gm25921","AC008752.1"
"Gm22163","AC008752.1"
"mt-Nd6","MT-ND6"
"mt-Nd2","MT-ND2"
"mt-Co2","MT-CO2"
"Gm23996","AC008752.1"
"Gm25482","RNU6-166P"
"Gm23902","AC008752.1"
"Gm50450","AL049745.1"
"Mir335","MIR335"
"Gm22915","AC008752.1"
"Dgcr6","AC007325.4"
"mt-Nd4l","MT-ND4L"
"mt-Co3","MT-CO3"
"Gm23995","AC008752.1"
"Gm24097","RNU6-22P"
"Mir150","MIR150"
"mt-Atp6","MT-ATP6"
"Mir1949","SNORA74D"
"Gm25862","AC008752.1"
"Gm25391","AC008752.1"
"Gm22603","AC008752.1"
"Gm25632","SNORD62B"
"Gm24896","AL137247.1"
"Gm23946","SNORA74B"
"Gm24689","RNU6-1000P"
"Gm26440","SNORA65"
"Gm23819","RNU6-388P"
"Gm22807","SNORA65"
"Gm22504","AC133550.1"
"Rnu3b2","AC011195.1"
"Rnu3b3","AC011195.1"
"Mir18","MIR18A"
"Scarna17","AC090227.1"
"Snora65","SNORA65"
"Snord100","SNORD100"
"Gm23927","AC011195.1"
"Snord60","AC244035.3"
"Gm23849","AC024051.2"
"Gm23849","AC024051.8"
"Rnu3b4","AC011195.1"
"Gm24613","SNORA65"
"Rnu2-10","AC024051.2"
"Rnu2-10","AC024051.8"
"Gm25379","SNORA65"
"Gm26405","RNA5SP534"
"Gm25203","AC011195.1"
"Gm23960","SNORA72"
"Gm24949","AC011195.1"
"Gm25079","AC103987.1"
"Gm23971","AC024051.2"
"Gm23971","AC024051.8"
"Snord66","SNORD66"
"Rnu3b1","AC011195.1"
"Gm22865","AC011195.1"
"Gm25705","RNU6-946P"
"Gm24500","AC010746.1"
"Gm24523","SNORA72"
"Gm24950","AC024051.2"
"Gm24950","AC024051.8"
"Gm24826","AC011195.1"
"Gm25443","AC090227.1"
"Snora3","SNORA3A"
"Gm25777","SNORA77B"
"Gm24321","MIR656"
"Gm27987","AC004386.3"
"Mir140","MIR140"
"Gm25428","AC019117.1"
"Gm25428","AC090260.1"
"Gm27369","AC091825.2"
"Gm22205","SNORD114-23"
"Gm22728","SCARNA23"
"Gm22728","SCARNA22"
"Gm22887","RNU6-154P"
"Snord70","SNORD70"
"Mir105","MIR105-1"
"Mir412","MIR412"
"Gm23926","RNU6-692P"
"Mir17","MIR17"
"Gm24357","SNORD6"
"Gm25664","RNU6-1231P"
"Gm25129","SNORA60"
"Gm25855","SNORD25"
"Mir196b","MIR196B"
"Gm22338","AC008013.1"
"Gm25284","AP003041.3"
"Snora15","SNORA15B-2"
"Mir193a","MIR193A"
"Mir34c","MIR34C"
"Gm24297","SNORD70"
"Mirlet7f-2","MIRLET7F2"
"Scarna6","SCARNA6"
"Gm24698","SNORA3A"
"Gm24284","SNORA80A"
"Gm24465","RNU6-154P"
"Snord32a","SNORD32A"
"Gm22972","AC008013.1"
"Scarna13","SCARNA13"
"Mir26a-1","MIR26A1"
"Mir361","MIR361"
"Snord12","SNORD12"
"Snord45c","SNORD45C"
"Gm26489","SCARNA13"
"Mir33","MIR33A"
"Zdhhc11","AC026740.3"
"Gm26393","AP003041.3"
"Gm22864","AL929472.5"
"Gm23772","AC019117.1"
"Gm23772","AC090260.1"
"Gm50449","AL354980.1"
"Gm24119","SNORA53"
"Gm23587","RNU6-1148P"
"Gm27483","AC051649.3"
"Gm24716","RNU6-828P"
"Mir15a","MIR15A"
"Gm22708","RNU6-366P"
"Gm23679","AC019117.1"
"Gm23679","AC090260.1"
"Gm25624","SCARNA13"
"Mir26a-2","MIR26A2"
"Gm24839","RNU6-609P"
"Gm25038","AC008013.1"
"Gm25663","SCARNA18B"
"Mir205","MIR205"
"Gm26265","SNORA50A"
"Gm23474","SNORD113-7"
"Gm22199","AC079835.1"
"Mir665","MIR665"
"Gm22975","RNU6-545P"
"Gm23830","RNU6-1053P"
"Ighv9-1","IGHV7-4-1"
"Ighv8-12","IGHV2-5"
"Klk1b21","KLK3"
"Gm24339","AL732366.1"
"Zfp446","ZNF446"
"Ago2","AGO2"
"Klk1b11","KLK3"
"Dbr1","DBR1"
"Cnksr3","CNKSR3"
"F2rl2","F2RL2"
"Gm21704","RBMY1E"
"Gm21704","RBMY1F"
"Reg3d","REG1B"
"C330007P06Rik","CXorf56"
"Ighv12-3","IGHV4-4"
"Ccdc15","CCDC15"
"Fgf7","FGF7"
"Ighv9-3","IGHV7-4-1"
"Meis1","MEIS1"
"Gm3376","RBMY1E"
"Gm3376","RBMY1F"
"Faah","FAAH"
"Cox10","COX10"
"Bcs1l","BCS1L"
"Snord69","SNORD69"
"Gm25578","RNU6-610P"
"Cavin1","CAVIN1"
"Psen2","PSEN2"
"Snord118","SNORD118"
"Ighv3-6","IGHV4-4"
"C4b","C4A"
"Gm23650","SNORD56"
"Fah","FAH"
"Klk1b5","KLK3"
"Gpatch1","GPATCH1"
"Klrh1","KLRC1"
"Dhrs9","DHRS9"
"Amd1","AMD1"
"Otud6b","OTUD6B"
"Ighv9-4","IGHV7-4-1"
"Trim9","TRIM9"
"Klk1b24","KLK3"
"Dzip1l","DZIP1L"
"Hemk1","HEMK1"
"Tctex1d2","TCTEX1D2"
"Tctex1d2","AC069257.4"
"Ppp4r1","PPP4R1"
"Foxn1","FOXN1"
"Gm24901","RNU6-1276P"
"Gm26397","SNORA14B"
"Ntn1","NTN1"
"Crocc2","CROCC2"
"Reg3g","REG1B"
"Helq","HELQ"
"Slc13a2","SLC13A2"
"Acsf3","ACSF3"
"Gm22358","AC007375.1"
"Ighv3-5","IGHV4-4"
"Gm22416","SCARNA3"
"Klk1b4","KLK3"
"Pigx","PIGX"
"Klre1","KLRC1"
"Rgs20","RGS20"
"Gm24718","SCARNA3"
