#,Visible?,Starred?,Identified Proteins (1467),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,BioSample 1,BioSample 2,BioSample 3,BioSample 4,BioSample 5,MP
2,TRUE,Empty,Alpha globin 1 OS=Mus musculus OX=10090 GN=Hba-a1 PE=1 SV=1,Q91VB8_MOUSE,,15 kDa,TRUE,unknown,13,16,10,16,10,13
1,TRUE,Empty,Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1,A8DUK4_MOUSE,,16 kDa,TRUE,unknown,17,19,16,20,18,18
8,TRUE,Empty,Plasminogen activator inhibitor 1 OS=Mus musculus OX=10090 GN=Serpine1 PE=1 SV=1,G5E899_MOUSE,,45 kDa,,unknown,23,23,23,23,23,23
18,TRUE,Empty,Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1,A0A087WR50_MOUSE,,263 kDa,TRUE,unknown,83,67,67,81,78,75.2
11,TRUE,Empty,Endoplasmic reticulum chaperone BiP OS=Mus musculus OX=10090 GN=Hspa5 PE=1 SV=3,BIP_MOUSE,,72 kDa,TRUE,unknown,39,39,35,38,38,37.8
45,TRUE,Empty,Filamin-B OS=Mus musculus OX=10090 GN=Flnb PE=1 SV=3,FLNB_MOUSE,,278 kDa,TRUE,unknown,106,86,80,104,98,94.8
17,TRUE,Empty,Protein disulfide-isomerase OS=Mus musculus OX=10090 GN=P4hb PE=1 SV=2,PDIA1_MOUSE,,57 kDa,,unknown,31,29,30,32,30,30.4
9,TRUE,Empty,"Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1",ACTB_MOUSE (+1),,42 kDa,TRUE,unknown,18,18,15,17,18,17.2
10,TRUE,Empty,Prolactin-2A1 OS=Mus musculus OX=10090 GN=Prl2a1 PE=2 SV=1,PR2A1_MOUSE,,26 kDa,,unknown,12,12,12,13,12,12.2
29,TRUE,Empty,Desmin OS=Mus musculus OX=10090 GN=Des PE=1 SV=3,DESM_MOUSE,,53 kDa,TRUE,unknown,35,34,32,39,36,35.2
16,TRUE,Empty,Protein disulfide-isomerase A3 OS=Mus musculus OX=10090 GN=Pdia3 PE=1 SV=2,PDIA3_MOUSE,,57 kDa,,unknown,31,28,32,30,32,30.6
15,TRUE,Empty,Alpha-fetoprotein OS=Mus musculus OX=10090 GN=Afp PE=2 SV=1,FETA_MOUSE,,67 kDa,,unknown,35,19,30,34,35,30.6
44,TRUE,Empty,Fructose-bisphosphate aldolase A OS=Mus musculus OX=10090 GN=Aldoa PE=1 SV=2,ALDOA_MOUSE,,39 kDa,TRUE,unknown,23,19,17,18,19,19.2
22,TRUE,Empty,Calreticulin OS=Mus musculus OX=10090 GN=Calr PE=1 SV=1,CALR_MOUSE,,48 kDa,,unknown,23,21,19,22,21,21.2
37,TRUE,Empty,Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1,ACTN4_MOUSE,,105 kDa,TRUE,unknown,52,43,40,49,50,46.8
86,TRUE,Empty,"Filamin, alpha OS=Mus musculus OX=10090 GN=Flna PE=1 SV=1",B7FAU9_MOUSE (+1),,280 kDa,TRUE,unknown,77,59,58,81,79,70.8
12,TRUE,Empty,MCG140256 OS=Mus musculus OX=10090 GN=Psg21 PE=1 SV=1,Q9DAV5_MOUSE,,53 kDa,TRUE,unknown,20,18,16,19,19,18.4
25,TRUE,Empty,Heat shock cognate 71 kDa protein OS=Mus musculus OX=10090 GN=Hspa8 PE=1 SV=1,HSP7C_MOUSE,,71 kDa,TRUE,unknown,31,28,25,30,29,28.6
70,TRUE,Empty,Heat shock protein HSP 90-beta OS=Mus musculus OX=10090 GN=Hsp90ab1 PE=1 SV=3,HS90B_MOUSE,,83 kDa,TRUE,unknown,34,36,24,36,38,33.6
160,TRUE,Empty,Myosin-9 OS=Mus musculus OX=10090 GN=Myh9 PE=1 SV=4,MYH9_MOUSE,,226 kDa,TRUE,unknown,61,48,43,72,64,57.6
63,TRUE,Empty,Moesin OS=Mus musculus OX=10090 GN=Msn PE=1 SV=3,MOES_MOUSE,,68 kDa,TRUE,unknown,41,37,32,36,39,37
30,TRUE,Empty,"Keratin, type II cytoskeletal 8 OS=Mus musculus OX=10090 GN=Krt8 PE=1 SV=4",K2C8_MOUSE,,55 kDa,TRUE,unknown,28,28,23,29,28,27.2
64,TRUE,Empty,Peptidyl-prolyl cis-trans isomerase A OS=Mus musculus OX=10090 GN=Ppia PE=1 SV=2,PPIA_MOUSE,,18 kDa,,unknown,10,11,10,10,10,10.2
96,TRUE,Empty,Isoform 2 of Gelsolin OS=Mus musculus OX=10090 GN=Gsn,sp|P13020-2|GELS_MOUSE,,81 kDa,TRUE,unknown,21,24,23,24,26,23.6
82,TRUE,Empty,Vinculin OS=Mus musculus OX=10090 GN=Vcl PE=1 SV=4,VINC_MOUSE,,117 kDa,,unknown,53,49,36,49,52,47.8
42,TRUE,Empty,"Keratin, type I cytoskeletal 18 OS=Mus musculus OX=10090 GN=Krt18 PE=1 SV=5",K1C18_MOUSE,,48 kDa,TRUE,unknown,29,27,18,29,27,26
148,TRUE,Empty,"Spectrin alpha chain, non-erythrocytic 1 OS=Mus musculus OX=10090 GN=Sptan1 PE=1 SV=4",sp|P16546|SPTN1_MOUSE,,285 kDa,TRUE,unknown,77,59,47,76,77,67.2
27,TRUE,Empty,Carbonic anhydrase 2 OS=Mus musculus OX=10090 GN=Ca2 PE=1 SV=4,CAH2_MOUSE,,29 kDa,TRUE,unknown,13,13,11,13,12,12.4
23,TRUE,Empty,Carcinoembryonic antigen-related cell adhesion molecule 5 OS=Mus musculus OX=10090 GN=Ceacam5 PE=2 SV=1,CEAM5_MOUSE,,106 kDa,TRUE,unknown,31,27,19,28,25,26
65,TRUE,Empty,Endoplasmin OS=Mus musculus OX=10090 GN=Hsp90b1 PE=1 SV=2,ENPL_MOUSE,,92 kDa,TRUE,unknown,32,37,23,30,30,30.4
244,TRUE,Empty,Isoform PLEC-1 of Plectin OS=Mus musculus OX=10090 GN=Plec,sp|Q9QXS1-2|PLEC_MOUSE,,534 kDa,TRUE,unknown,70,46,23,67,62,53.6
59,TRUE,Empty,Nidogen-1 OS=Mus musculus OX=10090 GN=Nid1 PE=1 SV=2,NID1_MOUSE,,137 kDa,TRUE,unknown,34,33,28,36,35,33.2
52,TRUE,Empty,14-3-3 protein epsilon OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1,1433E_MOUSE,,29 kDa,TRUE,unknown,22,20,18,20,22,20.4
6,TRUE,Empty,Hemoglobin subunit epsilon-Y2 OS=Mus musculus OX=10090 GN=Hbb-y PE=1 SV=2,HBE_MOUSE,,16 kDa,TRUE,unknown,10,11,10,11,11,10.6
79,TRUE,Empty,Transitional endoplasmic reticulum ATPase OS=Mus musculus OX=10090 GN=Vcp PE=1 SV=4,TERA_MOUSE,,89 kDa,,unknown,36,31,31,39,37,34.8
35,TRUE,Empty,L-lactate dehydrogenase OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=1,A0A1B0GSX0_MOUSE (+1),,40 kDa,TRUE,unknown,20,20,17,21,20,19.6
80,TRUE,Empty,Laminin subunit gamma-1 OS=Mus musculus OX=10090 GN=Lamc1 PE=1 SV=1,F8VQJ3_MOUSE,,177 kDa,TRUE,unknown,48,34,38,41,43,40.8
111,TRUE,Empty,Inhibin beta A chain OS=Mus musculus OX=10090 GN=Inhba PE=1 SV=1,INHBA_MOUSE,,47 kDa,,unknown,21,18,21,24,22,21.2
50,TRUE,Empty,Pyruvate kinase PKM OS=Mus musculus OX=10090 GN=Pkm PE=1 SV=4,sp|P52480|KPYM_MOUSE,,58 kDa,TRUE,unknown,28,30,27,30,27,28.4
85,TRUE,Empty,Elongation factor 2 OS=Mus musculus OX=10090 GN=Eef2 PE=1 SV=2,EF2_MOUSE,,95 kDa,TRUE,unknown,36,31,30,33,36,33.2
26,TRUE,Empty,SPARC OS=Mus musculus OX=10090 GN=Sparc PE=1 SV=1,A0A1L1SSH9_MOUSE (+2),,38 kDa,,unknown,15,12,12,16,14,13.8
175,TRUE,Empty,Talin-1 OS=Mus musculus OX=10090 GN=Tln1 PE=1 SV=2,TLN1_MOUSE,,270 kDa,,unknown,61,43,26,60,55,49
89,TRUE,Empty,Vimentin OS=Mus musculus OX=10090 GN=Vim PE=1 SV=3,VIME_MOUSE,,54 kDa,TRUE,unknown,29,24,22,27,25,25.4
14,TRUE,Empty,Prolactin-3B1 OS=Mus musculus OX=10090 GN=Prl3b1 PE=1 SV=1,PR3B1_MOUSE,,25 kDa,,unknown,11,10,8,10,9,9.6
147,TRUE,Empty,Clathrin heavy chain 1 OS=Mus musculus OX=10090 GN=Cltc PE=1 SV=3,CLH1_MOUSE (+1),,192 kDa,,unknown,56,41,33,52,53,47
40,TRUE,Empty,Cathepsin B OS=Mus musculus OX=10090 GN=Ctsb PE=1 SV=2,CATB_MOUSE,,37 kDa,,unknown,15,14,15,16,15,15
