"Accession.New","MouseGeneName","Description","Accession.Number","Sample1","Sample2","Sample3","Sample4","Sample5","ProteinID"
"1433B_MOUSE","Ywhab","Isoform Short of 14-3-3 protein beta/alpha OS=Mus musculus OX=10090 GN=Ywhab","sp|Q9CQV8-2|1433B_MOUSE (+1)",5,5,6,6,6,"Q9CQV8"
"1433E_MOUSE","Ywhae","14-3-3 protein epsilon OS=Mus musculus OX=10090 GN=Ywhae PE=1 SV=1","1433E_MOUSE",22,20,18,20,22,"P62259"
"1433F_MOUSE","Ywhah","14-3-3 protein eta OS=Mus musculus OX=10090 GN=Ywhah PE=1 SV=2","1433F_MOUSE",11,7,11,10,11,"P68510"
"1433G_MOUSE","Ywhag","14-3-3 protein gamma OS=Mus musculus OX=10090 GN=Ywhag PE=1 SV=2","1433G_MOUSE",8,9,9,8,10,"P61982"
"1433S_MOUSE","Sfn","14-3-3 protein sigma OS=Mus musculus OX=10090 GN=Sfn PE=1 SV=2","1433S_MOUSE",5,8,4,8,8,"O70456"
"1433Z_MOUSE","Ywhaz","14-3-3 protein zeta/delta OS=Mus musculus OX=10090 GN=Ywhaz PE=1 SV=1","1433Z_MOUSE",16,14,15,13,13,"P63101"
"2AAA_MOUSE","Ppp2r1a","Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform OS=Mus musculus OX=10090 GN=Ppp2r1a PE=1 SV=3","2AAA_MOUSE",11,5,0,8,8,"Q76MZ3"
"4F2_MOUSE","Slc3a2","Isoform 2 of 4F2 cell-surface antigen heavy chain OS=Mus musculus OX=10090 GN=Slc3a2","sp|P10852-2|4F2_MOUSE (+1)",6,5,0,7,7,"P10852"
"6PGD_MOUSE","Pgd","6-phosphogluconate dehydrogenase, decarboxylating OS=Mus musculus OX=10090 GN=Pgd PE=1 SV=3","6PGD_MOUSE",12,10,13,13,14,"Q9DCD0"
"6PGL_MOUSE","Pgls","6-phosphogluconolactonase OS=Mus musculus OX=10090 GN=Pgls PE=1 SV=1","6PGL_MOUSE",5,6,5,6,6,"Q9CQ60"
"A0A023T778_MOUSE","Magohb","Mago nashi protein OS=Mus musculus OX=10090 GN=Magohb PE=1 SV=1","A0A023T778_MOUSE (+2)",5,2,2,3,2,"A0A023T778"
"A0A087WP83_MOUSE","Hdlbp","Vigilin OS=Mus musculus OX=10090 GN=Hdlbp PE=1 SV=1","A0A087WP83_MOUSE (+1)",2,4,0,4,3,"A0A087WP83"
"A0A087WR50_MOUSE","Fn1","Fibronectin OS=Mus musculus OX=10090 GN=Fn1 PE=1 SV=1","A0A087WR50_MOUSE",83,67,67,81,78,"A0A087WR50"
"A0A0A0MQ90_MOUSE","S100a13","Protein S100-A13 OS=Mus musculus OX=10090 GN=S100a13 PE=1 SV=1","A0A0A0MQ90_MOUSE (+1)",2,2,0,2,2,"A0A0A0MQ90"
"A0A0A0MQ97_MOUSE","Nccrp1","F-box only protein 50 OS=Mus musculus OX=10090 GN=Nccrp1 PE=1 SV=1","A0A0A0MQ97_MOUSE (+1)",9,10,8,11,10,"A0A0A0MQ97"
"A0A0A0MQM0_MOUSE","Eif5a","Eukaryotic translation initiation factor 5A (Fragment) OS=Mus musculus OX=10090 GN=Eif5a PE=1 SV=1","A0A0A0MQM0_MOUSE (+1)",10,7,6,6,8,"A0A0A0MQM0"
"A0A0A6YW77_MOUSE","Lcn2","Neutrophil gelatinase-associated lipocalin (Fragment) OS=Mus musculus OX=10090 GN=Lcn2 PE=1 SV=1","A0A0A6YW77_MOUSE (+1)",2,2,2,0,3,"A0A0A6YW77"
"A0A0A6YXU9_MOUSE","Tgfb2","Transforming growth factor beta-2 OS=Mus musculus OX=10090 GN=Tgfb2 PE=1 SV=1","A0A0A6YXU9_MOUSE (+1)",4,2,0,5,2,"A0A0A6YXU9"
"A0A0G2JDW7_MOUSE","Rps27","40S ribosomal protein S27 (Fragment) OS=Mus musculus OX=10090 GN=Rps27 PE=1 SV=1","A0A0G2JDW7_MOUSE (+1)",4,2,2,2,2,"A0A0G2JDW7"
"A0A0G2JFX7_MOUSE","Rbm8a","RNA-binding protein 8A OS=Mus musculus OX=10090 GN=Rbm8a PE=1 SV=1","A0A0G2JFX7_MOUSE (+1)",3,2,2,3,3,"A0A0G2JFX7"
"A0A0G2JGD2_MOUSE","S100a4","Protein S100-A4 (Fragment) OS=Mus musculus OX=10090 GN=S100a4 PE=1 SV=1","A0A0G2JGD2_MOUSE (+1)",2,2,2,3,2,"A0A0G2JGD2"
"A0A0G2JH04_MOUSE","Eif4e","Eukaryotic translation initiation factor 4E OS=Mus musculus OX=10090 GN=Eif4e PE=1 SV=1","A0A0G2JH04_MOUSE",2,2,0,2,3,"A0A0G2JH04"
"A0A0J9YTY0_MOUSE","Sept11","Septin-11 OS=Mus musculus OX=10090 GN=Sept11 PE=1 SV=1","A0A0J9YTY0_MOUSE (+4)",9,9,5,10,9,"A0A0J9YTY0"
"A0A0J9YUZ4_MOUSE","Hmgb1","High mobility group protein B1 (Fragment) OS=Mus musculus OX=10090 GN=Hmgb1 PE=1 SV=1","A0A0J9YUZ4_MOUSE",6,8,2,4,7,"A0A0J9YUZ4"
"A0A0R4IZW5_MOUSE","Cdh1","Cadherin 1, isoform CRA_b OS=Mus musculus OX=10090 GN=Cdh1 PE=1 SV=1","A0A0R4IZW5_MOUSE (+1)",4,2,2,3,6,"A0A0R4IZW5"
"A0A0R4IZW8_MOUSE","Capns1","Calpain small subunit 1 OS=Mus musculus OX=10090 GN=Capns1 PE=1 SV=1","A0A0R4IZW8_MOUSE (+2)",2,2,0,2,3,"A0A0R4IZW8"
"A0A0R4IZY0_MOUSE","Thop1","Thimet oligopeptidase OS=Mus musculus OX=10090 GN=Thop1 PE=1 SV=1","A0A0R4IZY0_MOUSE (+1)",13,6,5,9,8,"A0A0R4IZY0"
"A0A0R4J052_MOUSE","Hagh","Hydroxyacylglutathione hydrolase, mitochondrial OS=Mus musculus OX=10090 GN=Hagh PE=1 SV=1","A0A0R4J052_MOUSE (+3)",3,2,4,3,2,"A0A0R4J052"
"A0A0R4J092_MOUSE","Manba","Beta-mannosidase OS=Mus musculus OX=10090 GN=Manba PE=1 SV=1","A0A0R4J092_MOUSE",9,5,3,8,11,"A0A0R4J092"
"A0A0R4J093_MOUSE","Cmpk1","UMP-CMP kinase OS=Mus musculus OX=10090 GN=Cmpk1 PE=1 SV=1","A0A0R4J093_MOUSE (+1)",9,6,7,7,7,"A0A0R4J093"
"A0A0R4J0A4_MOUSE","Flt1","Vascular endothelial growth factor receptor 1 OS=Mus musculus OX=10090 GN=Flt1 PE=1 SV=1","A0A0R4J0A4_MOUSE (+1)",32,28,11,30,30,"A0A0R4J0A4"
"A0A0R4J0G6_MOUSE","Qpct","Glutaminyl-peptide cyclotransferase OS=Mus musculus OX=10090 GN=Qpct PE=1 SV=1","A0A0R4J0G6_MOUSE (+1)",8,4,5,7,6,"A0A0R4J0G6"
"A0A0R4J0I9_MOUSE","Lrp1","Low density lipoprotein receptor-related protein 1 OS=Mus musculus OX=10090 GN=Lrp1 PE=1 SV=1","A0A0R4J0I9_MOUSE (+1)",2,2,3,7,4,"A0A0R4J0I9"
"A0A0R4J0V8_MOUSE","Ctsj","Cathepsin J OS=Mus musculus OX=10090 GN=Ctsj PE=1 SV=1","A0A0R4J0V8_MOUSE (+1)",17,10,13,16,16,"A0A0R4J0V8"
"A0A0R4J0Z1_MOUSE","Pdia4","Protein disulfide-isomerase A4 OS=Mus musculus OX=10090 GN=Pdia4 PE=1 SV=1","A0A0R4J0Z1_MOUSE (+1)",26,31,16,25,25,"A0A0R4J0Z1"
"A0A0R4J107_MOUSE","Apeh","Acylamino-acid-releasing enzyme (Fragment) OS=Mus musculus OX=10090 GN=Apeh PE=1 SV=1","A0A0R4J107_MOUSE (+2)",12,11,8,11,8,"A0A0R4J107"
"A0A0R4J182_MOUSE","Ctsm","Cathepsin M OS=Mus musculus OX=10090 GN=Ctsm PE=3 SV=1","A0A0R4J182_MOUSE (+1)",7,4,0,6,5,"A0A0R4J182"
"A0A0R4J1E2_MOUSE","Eef1d","Elongation factor 1-delta OS=Mus musculus OX=10090 GN=Eef1d PE=1 SV=1","A0A0R4J1E2_MOUSE",5,6,3,7,6,"A0A0R4J1E2"
"A0A0R4J2B2_MOUSE","Kctd12","BTB/POZ domain-containing protein KCTD12 OS=Mus musculus OX=10090 GN=Kctd12 PE=1 SV=1","A0A0R4J2B2_MOUSE (+1)",4,2,4,5,4,"A0A0R4J2B2"
"A0A171KXD3_MOUSE","Prmt1","Protein arginine N-methyltransferase 1 OS=Mus musculus OX=10090 GN=Prmt1 PE=1 SV=1","A0A171KXD3_MOUSE",6,3,0,5,6,"A0A171KXD3"
"A0A1B0GR11_MOUSE","Taldo1","Transaldolase OS=Mus musculus OX=10090 GN=Taldo1 PE=1 SV=1","A0A1B0GR11_MOUSE (+1)",16,16,16,15,14,"A0A1B0GR11"
"A0A1B0GRP7_MOUSE","Plpbp","Pyridoxal phosphate homeostasis protein (Fragment) OS=Mus musculus OX=10090 GN=Plpbp PE=1 SV=1","A0A1B0GRP7_MOUSE",5,3,5,4,8,"A0A1B0GRP7"
"A0A1B0GS58_MOUSE","Glrx3","Glutaredoxin-3 OS=Mus musculus OX=10090 GN=Glrx3 PE=1 SV=1","A0A1B0GS58_MOUSE",2,4,3,4,4,"A0A1B0GS58"
"A0A1B0GSG5_MOUSE","Rnh1","Ribonuclease inhibitor OS=Mus musculus OX=10090 GN=Rnh1 PE=1 SV=1","A0A1B0GSG5_MOUSE (+1)",13,13,9,15,10,"A0A1B0GSG5"
"A0A1B0GSU0_MOUSE","Aldh16a1","Aldehyde dehydrogenase family 16 member A1 OS=Mus musculus OX=10090 GN=Aldh16a1 PE=1 SV=1","A0A1B0GSU0_MOUSE (+2)",3,5,0,6,5,"A0A1B0GSU0"
"A0A1B0GSX0_MOUSE","Ldha","L-lactate dehydrogenase OS=Mus musculus OX=10090 GN=Ldha PE=1 SV=1","A0A1B0GSX0_MOUSE (+1)",20,20,17,21,20,"A0A1B0GSX0"
"A0A1B0GT81_MOUSE","Bax","Apoptosis regulator BAX OS=Mus musculus OX=10090 GN=Bax PE=1 SV=1","A0A1B0GT81_MOUSE (+2)",3,2,2,2,3,"A0A1B0GT81"
"A0A1C7CYV0_MOUSE","Pls3","Plastin-3 (Fragment) OS=Mus musculus OX=10090 GN=Pls3 PE=1 SV=1","A0A1C7CYV0_MOUSE (+2)",15,7,10,16,12,"A0A1C7CYV0"
"A0A1D5RLD8_MOUSE","Gm10358","Glyceraldehyde-3-phosphate dehydrogenase OS=Mus musculus OX=10090 GN=Gm10358 PE=1 SV=1","A0A1D5RLD8_MOUSE",15,14,10,13,14,"A0A1D5RLD8"
"A0A1L1SRE8_MOUSE","Ldlr","Low-density lipoprotein receptor OS=Mus musculus OX=10090 GN=Ldlr PE=1 SV=1","A0A1L1SRE8_MOUSE (+1)",4,0,2,4,3,"A0A1L1SRE8"
"A0A1L1SRT0_MOUSE","Bag1","BAG family molecular chaperone regulator 1 OS=Mus musculus OX=10090 GN=Bag1 PE=1 SV=1","A0A1L1SRT0_MOUSE (+1)",3,3,2,3,3,"A0A1L1SRT0"
"A0A1L1SRX2_MOUSE","Ampd3","AMP deaminase OS=Mus musculus OX=10090 GN=Ampd3 PE=1 SV=1","A0A1L1SRX2_MOUSE",4,4,2,5,6,"A0A1L1SRX2"
"A0A1L1SSH9_MOUSE","Sparc","SPARC OS=Mus musculus OX=10090 GN=Sparc PE=1 SV=1","A0A1L1SSH9_MOUSE (+2)",15,12,12,16,14,"A0A1L1SSH9"
"A0A1W2P6F6_MOUSE","Myl6","Myosin light polypeptide 6 OS=Mus musculus OX=10090 GN=Myl6 PE=1 SV=1","A0A1W2P6F6_MOUSE (+3)",9,8,7,9,8,"A0A1W2P6F6"
"A0A1W2P729_MOUSE","Cnpy2","Protein canopy homolog 2 (Fragment) OS=Mus musculus OX=10090 GN=Cnpy2 PE=1 SV=1","A0A1W2P729_MOUSE (+1)",7,4,3,6,4,"A0A1W2P729"
"A0A1W2P788_MOUSE","Man1a","alpha-1,2-Mannosidase (Fragment) OS=Mus musculus OX=10090 GN=Man1a PE=1 SV=1","A0A1W2P788_MOUSE (+1)",7,7,3,9,7,"A0A1W2P788"
"A0A1W2P7A1_MOUSE","Rps12","40S ribosomal protein S12 OS=Mus musculus OX=10090 GN=Rps12 PE=1 SV=1","A0A1W2P7A1_MOUSE (+2)",4,5,3,6,4,"A0A1W2P7A1"
"A0A1Y7VJ48_MOUSE","Tbca","Tubulin-specific chaperone A OS=Mus musculus OX=10090 GN=Tbca PE=1 SV=1","A0A1Y7VJ48_MOUSE (+1)",4,2,3,2,3,"A0A1Y7VJ48"
"A0A286YC78_MOUSE","Prl3d1","Growth hormone d4 OS=Mus musculus OX=10090 GN=Prl3d1 PE=2 SV=1","A0A286YC78_MOUSE (+1)",6,6,7,8,7,"A0A286YC78"
"A0A286YD45_MOUSE","Tpbpb","Trophoblast-specific protein beta OS=Mus musculus OX=10090 GN=Tpbpb PE=1 SV=1","A0A286YD45_MOUSE (+1)",6,5,2,5,5,"A0A286YD45"
"A0A2I3BPT1_MOUSE","App","Amyloid-beta A4 protein OS=Mus musculus OX=10090 GN=App PE=1 SV=1","A0A2I3BPT1_MOUSE (+3)",10,5,6,12,8,"A0A2I3BPT1"
"A0A2I3BRL8_MOUSE","Gm7324","Predicted gene 7324 OS=Mus musculus OX=10090 GN=Gm7324 PE=4 SV=1","A0A2I3BRL8_MOUSE (+1)",5,3,3,3,5,"A0A2I3BRL8"
"A0A2K6EDJ7_MOUSE","Itih4","Inter alpha-trypsin inhibitor, heavy chain 4 OS=Mus musculus OX=10090 GN=Itih4 PE=1 SV=1","A0A2K6EDJ7_MOUSE (+4)",2,3,2,3,2,"A0A2K6EDJ7"
"A2A6U3_MOUSE","Sept9","Septin-9 OS=Mus musculus OX=10090 GN=Sept9 PE=1 SV=1","A2A6U3_MOUSE (+2)",7,4,0,5,7,"A2A6U3"
"A2A7A7_MOUSE","H6pd","GDH/6PGL endoplasmic bifunctional protein OS=Mus musculus OX=10090 GN=H6pd PE=1 SV=1","A2A7A7_MOUSE (+1)",7,4,2,0,7,"A2A7A7"
"A2A7Q5_MOUSE","P3h1","Prolyl 3-hydroxylase 1 OS=Mus musculus OX=10090 GN=P3h1 PE=1 SV=1","A2A7Q5_MOUSE (+3)",2,2,0,2,3,"A2A7Q5"
"A2A8E2_MOUSE","0610037L13Rik","RIKEN cDNA 0610037L13 gene OS=Mus musculus OX=10090 GN=0610037L13Rik PE=1 SV=1","A2A8E2_MOUSE (+2)",2,2,0,3,3,"A2A8E2"
"A2AAV6_MOUSE","Metrnl","Meteorin-like protein (Fragment) OS=Mus musculus OX=10090 GN=Metrnl PE=1 SV=1","A2AAV6_MOUSE (+1)",3,3,2,4,0,"A2AAV6"
"A2AEX6_MOUSE","Fhl1","Four and a half LIM domains protein 1 OS=Mus musculus OX=10090 GN=Fhl1 PE=1 SV=1","A2AEX6_MOUSE (+2)",3,2,2,2,2,"A2AEX6"
"A2AGN7_MOUSE","Psmc3","26S proteasome regulatory subunit 6A OS=Mus musculus OX=10090 GN=Psmc3 PE=1 SV=1","A2AGN7_MOUSE (+1)",3,0,3,5,5,"A2AGN7"
"A2AH25_MOUSE","Arhgap1","Rho GTPase-activating protein 1 OS=Mus musculus OX=10090 GN=Arhgap1 PE=1 SV=1","A2AH25_MOUSE (+1)",7,4,0,7,7,"A2AH25"
"A2AIM4_MOUSE","Tpm2","Tropomyosin beta chain OS=Mus musculus OX=10090 GN=Tpm2 PE=1 SV=1","A2AIM4_MOUSE (+1)",4,3,2,2,3,"A2AIM4"
"A2AL12_MOUSE","Hnrnpa3","Heterogeneous nuclear ribonucleoprotein A3 OS=Mus musculus OX=10090 GN=Hnrnpa3 PE=1 SV=1","A2AL12_MOUSE (+1)",5,5,3,6,8,"A2AL12"
"A2ARA0_MOUSE","Tfpi","Tissue factor pathway inhibitor OS=Mus musculus OX=10090 GN=Tfpi PE=1 SV=1","A2ARA0_MOUSE (+1)",3,2,2,5,6,"A2ARA0"
"A2AUD5_MOUSE","Tpd52l2","Tumor protein D54 OS=Mus musculus OX=10090 GN=Tpd52l2 PE=1 SV=1","A2AUD5_MOUSE (+2)",4,2,0,3,5,"A2AUD5"
"A2AVJ7_MOUSE","Rrbp1","Ribosome-binding protein 1 OS=Mus musculus OX=10090 GN=Rrbp1 PE=1 SV=1","A2AVJ7_MOUSE (+1)",14,15,6,13,18,"A2AVJ7"
"A2BE93_MOUSE","Set","Protein SET (Fragment) OS=Mus musculus OX=10090 GN=Set PE=1 SV=1","A2BE93_MOUSE (+2)",4,5,0,4,4,"A2BE93"
"A2BFF9_MOUSE","Dync1i2","Cytoplasmic dynein 1 intermediate chain 2 OS=Mus musculus OX=10090 GN=Dync1i2 PE=1 SV=1","A2BFF9_MOUSE (+2)",5,3,2,3,2,"A2BFF9"
"A2MG_MOUSE","A2m","Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2","A2MG_MOUSE",25,20,22,25,30,"Q6GQT1"
"A8DUK4_MOUSE","Hbb-bs","Beta-globin OS=Mus musculus OX=10090 GN=Hbb-bs PE=1 SV=1","A8DUK4_MOUSE",17,19,16,20,18,"A8DUK4"
"AATC_MOUSE","Got1","Aspartate aminotransferase, cytoplasmic OS=Mus musculus OX=10090 GN=Got1 PE=1 SV=3","AATC_MOUSE",16,17,12,15,19,"P05201"
"AATM_MOUSE","Got2","Aspartate aminotransferase, mitochondrial OS=Mus musculus OX=10090 GN=Got2 PE=1 SV=1","AATM_MOUSE",15,14,12,14,15,"P05202"
"ACBP_MOUSE","Dbi","Acyl-CoA-binding protein OS=Mus musculus OX=10090 GN=Dbi PE=1 SV=2","ACBP_MOUSE (+1)",2,2,2,2,2,"P31786"
"ACLY_MOUSE","Acly","ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1","ACLY_MOUSE (+1)",12,10,8,11,14,"Q91V92"
"ACON_MOUSE","Aco2","Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1","ACON_MOUSE",6,5,2,7,6,"Q99KI0"
