Protein Group,Protein ID,Accession,-10lgP,Coverage (%),Coverage (%) Sample 1,Coverage (%) Sample 2,Coverage (%) Sample 3,Coverage (%) Sample 4,Coverage (%) Sample 5,Area Sample 1,Area Sample 2,Area Sample 3,Area Sample 4,Area Sample 5,#Peptides,#Unique,#Spec Sample 1,#Spec Sample 2,#Spec Sample 3,#Spec Sample 4,#Spec Sample 5,PTM,Avg. Mass,Description
2,29,P19137|LAMA1_MOUSE,712.67,45,37,41,32,31,37,2.50E+09,5.94E+09,1.01E+09,1.97E+09,2.78E+09,219,217,135,273,118,137,178,Carbamidomethylation; Oxidation (M); Deamidation (NQ),338173,Laminin subunit alpha-1 OS=Mus musculus GN=Lama1 PE=1 SV=1
3,10,P02469|LAMB1_MOUSE,687.8,68,58,61,54,54,60,2.33E+09,4.92E+09,8.62E+08,2.04E+09,3.43E+09,186,184,135,240,101,147,198,Carbamidomethylation; Oxidation (M); Deamidation (NQ),197089,Laminin subunit beta-1 OS=Mus musculus GN=Lamb1 PE=1 SV=3
1,13,P02468|LAMC1_MOUSE,632.9,58,50,54,47,49,50,2.31E+09,5.75E+09,1.17E+09,2.34E+09,3.46E+09,186,186,141,251,116,156,181,Carbamidomethylation; Oxidation (M); Deamidation (NQ),177298,Laminin subunit gamma-1 OS=Mus musculus GN=Lamc1 PE=1 SV=2
7,11,Q80X90|FLNB_MOUSE,540.35,63,44,39,42,40,47,7.66E+08,7.54E+08,4.21E+08,4.77E+08,6.22E+08,132,126,100,108,97,84,108,Carbamidomethylation; Deamidation (NQ),277822,Filamin-B OS=Mus musculus GN=Flnb PE=1 SV=3
5,28,Q8VDD5|MYH9_MOUSE,530.64,50,44,39,37,41,42,1.45E+09,1.98E+09,8.32E+08,7.47E+08,1.42E+09,120,96,120,133,113,112,137,Carbamidomethylation; Deamidation (NQ),226370,Myosin-9 OS=Mus musculus GN=Myh9 PE=1 SV=4
8,16,Q8BTM8|FLNA_MOUSE,524.76,57,48,48,33,42,38,7.86E+08,8.49E+08,2.48E+08,5.25E+08,5.68E+08,119,114,87,106,56,82,75,Carbamidomethylation; Deamidation (NQ),281219,Filamin-A OS=Mus musculus GN=Flna PE=1 SV=5
14,24,P26039|TLN1_MOUSE,505.87,52,40,35,32,31,37,3.05E+08,4.20E+08,2.09E+08,2.85E+08,3.75E+08,86,82,63,66,51,57,71,Carbamidomethylation; Deamidation (NQ),269819,Talin-1 OS=Mus musculus GN=Tln1 PE=1 SV=2
13,22,Q68FD5|CLH1_MOUSE,475.89,57,47,33,36,37,36,4.31E+08,2.66E+08,2.55E+08,2.67E+08,3.28E+08,87,86,75,55,64,63,68,Carbamidomethylation; Deamidation (NQ),191555,Clathrin heavy chain 1 OS=Mus musculus GN=Cltc PE=1 SV=3
4,4,P60710|ACTB_MOUSE,465.3,84,62,59,65,74,69,2.37E+09,2.85E+09,1.93E+09,2.58E+09,3.25E+09,87,40,153,140,135,136,164,Carbamidomethylation; Oxidation (M); Deamidation (NQ),41737,Actin  cytoplasmic 1 OS=Mus musculus GN=Actb PE=1 SV=1
66,23,P11087|CO1A1_MOUSE,461.16,53,36,43,15,27,34,1.81E+08,2.41E+08,3.26E+07,1.35E+08,1.65E+08,46,46,30,39,11,25,30,Carbamidomethylation; Oxidation (M); Deamidation (NQ),138033,Collagen alpha-1(I) chain OS=Mus musculus GN=Col1a1 PE=1 SV=4
20,32,P10493|NID1_MOUSE,457.82,40,37,30,19,20,18,1.22E+09,1.72E+09,5.15E+08,7.48E+08,1.28E+09,72,70,64,88,36,46,54,Carbamidomethylation; Oxidation (M); Deamidation (NQ),136538,Nidogen-1 OS=Mus musculus GN=Nid1 PE=1 SV=2
23,1,P68369|TBA1A_MOUSE,456.15,89,81,63,85,78,79,5.49E+07,6.70E+06,3.46E+06,5.17E+06,1.63E+06,75,2,43,51,51,68,69,Carbamidomethylation; Oxidation (M); Deamidation (NQ),50136,Tubulin alpha-1A chain OS=Mus musculus GN=Tuba1a PE=1 SV=1
25,3,P68373|TBA1C_MOUSE,449.15,87,75,57,83,75,76,,,3.86E+06,2.78E+06,2.54E+06,74,2,41,47,50,65,67,Carbamidomethylation; Oxidation (M); Deamidation (NQ),49909,Tubulin alpha-1C chain OS=Mus musculus GN=Tuba1c PE=1 SV=1
