"MouseGeneName","HumanGeneName"
"Gm24340","RNU6-760P"
"Gm26330","SNORD46"
"Gm23761","RNU6-739P"
"mt-Co2","MT-CO2"
"mt-Nd6","MT-ND6"
"Gm26253","FO681491.2"
"Gm24044","SNORA6"
"Gm22779","RNU6-1172P"
"mt-Cytb","MT-CYB"
"Gm22005","RNU4-66P"
"Gm23466","AC012640.2"
"Gm23772","AC019117.1"
"Gm24202","RNU6-1231P"
"Gm24202","RNU6-752P"
"Gm22479","RNU4-37P"
"Gm23386","AC099537.1"
"Gm22349","RNU6-1155P"
"Gm25024","RNU6-1155P"
"Gm24836","RNU6-1265P"
"Gm23306","RNU6-1155P"
"Gm25903","RNU6-1155P"
"Gm25581","RNU1-148P"
"Gm26461","RN7SL748P"
"Gm22431","RNY1P2"
"Gm24801","RNU6-1155P"
"Gm25254","RNU6-1155P"
"Gm26332","SNORD116-6"
"Gm25482","RNU6-573P"
"Gm27538","AL049692.2"
"Gm26098","RN7SKP234"
"Gm22863","SNORD116-6"
"Gm23377","SNORA17B"
"Gm24379","RNY1P2"
"Gm27928","AL137060.1"
"mt-Nd5","MT-ND5"
"Gm22263","RNU6-1155P"
"Gm23507","RNU6-643P"
"Gm25777","SNORA77"
"Snord71","SNORD71"
"Gm25428","AC019117.1"
"mt-Co1","MT-CO1"
"Gm22885","RNU6-1155P"
"Gm23080","RNU6-1155P"
"Gm24357","SNORD6"
"mt-Nd3","MT-ND3"
"Gm24437","RNU6-1155P"
"Gm25968","RNU6-955P"
"mt-Nd2","MT-ND2"
"mt-Nd4l","MT-ND4L"
"Gm50449","AL354980.1"
"Gm24218","RNU6-1155P"
"Snora43","SNORA17B"
"Gm22961","RNU6-1053P"
"mt-Co3","MT-CO3"
"Gm24618","SNORD116-6"
"mt-Atp8","MT-ATP8"
"Gm23953","SNORD116-6"
"Gm24644","AC099537.1"
"mt-Atp6","MT-ATP6"
"Gm24534","RN7SKP2"
"Gm23679","AC019117.1"
"Gm26487","RNU6-53P"
"Gm26257","RNU6-739P"
"Gm22583","RNU6-738P"
"Gm25465","RNU6-1155P"
"Gm23533","RN7SKP21"
"Gm26329","RNY1P2"
"Gm24737","RNU6-562P"
"Gm25290","AC008810.1"
"Gm24569","RNU6-1155P"
"Gm22004","RNU6-739P"
"mt-Nd1","MT-ND1"
"Gm25223","AC012640.2"
"Gm25720","RNU6-739P"
"Gm24896","AL137247.1"
"mt-Nd4","MT-ND4"
"Gm25632","SNORD62B"
"Mir361","MIR361"
"Gm26493","AF111168.1"
"Gm25256","RNU6-9"
"Gm24618","SNORD116-3"
"Gm22092","RNU6-9"
"Gm24382","RNU6-632P"
"Gm24382","RNU6-687P"
"Mir193a","MIR193A"
"Mir665","MIR665"
"Mir26a-2","MIR26A2"
"Gm22608","RNU6-1062P"
"Gm25006","RNU6-1225P"
"Gm25897","RNU6-964P"
"Gm22301","RNU6-359P"
"Gm22738","RNU1-64P"
"Gm26008","RNU6-1133P"
"Gm25403","VTRNA2-2P"
"Gm22847","RNU1-18P"
"Snord45c","SNORD45C"
"Gm23738","RNU1-32P"
"Gm24131","RNU6-742P"
"Gm24531","RNU6-835P"
"Gm25506","SNORD41"
"Gm26329","AL157838.2"
"Gm26329","AL162739.1"
"Mir205","MIR205"
"Gm27421","AC007435.1"
"Gm25273","SNORA80A"
"Mir196b","MIR196B"
"Snora75","SNORA75"
"Gm23463","RNU6-1225P"
"Gm23953","SNORD116-3"
"Gm24622","RNVU1-32"
"Gm24535","RNU6-216P"
"Gm27882","Z99774.2"
"Mir412","MIR412"
"Gm23353","AC136611.1"
"Gm25423","RNU6-835P"
"Gm24958","SNORD125"
"Gm25038","SNORA75"
"Gm25834","RNU6-751P"
"Vaultrc5","VTRNA2-2P"
"Gm24202","RNU6-1331P"
"Gm22287","RNU6-935P"
"Gm25867","RNU6-778P"
"Gm25201","RNU1-64P"
"Gm23815","RNU6-19P"
"Gm26478","RNU4-50P"
"Gm26274","RN7SKP68"
"Gm23503","RNU6-1130P"
"Gm24134","SNORD36A"
"Gm24379","AL157838.2"
"Gm24379","AL162739.1"
"Gm22863","SNORD116-3"
"Gm23127","SNORA80A"
"Gm24608","SNORA58B"
"Gm26332","SNORD116-3"
"Gm26312","RNU1-64P"
"Gm22431","AL157838.2"
"Gm22431","AL162739.1"
"Gm22979","RNU1-73P"
"Gm22513","RNU1-42P"
"Gm23127","SNORA80C"
"Gm23377","AC034186.1"
"Gm25464","RNU6-390P"
"Gm22293","AC007375.1"
"Gm26244","RNU1-42P"
"Gm26326","AL591387.1"
"Scarna6","SCARNA6"
"Gm22634","RNU1-42P"
"Gm24698","SNORA3A"
"Snord107","SNORD107"
"Gm23250","RN7SKP277"
"Gm24305","RNU1-42P"
"Gm26065","RNU6-610P"
"Gm26065","RNU6-805P"
"Gm23570","RNU6-396P"
"Mir541","MIR541"
"Gm25178","RN7SKP83"
"Gm23763","RNU7-182P"
"Gm23804","RNU1-42P"
"Snord98","SNORD98"
"Gm25112","RNU6-334P"
"Gm24388","RNU6-792P"
"Gm24646","RNU6-215P"
"Gm24887","RNU6-1015P"
"Gm23485","RNU1-70P"
"Gm25937","RNU6-339P"
"Gm23028","RN7SKP265"
"Gm22317","RNU1-42P"
"Snora3","SNORA3A"
"Gm26444","RNU1-42P"
"Gm23691","RNU6-1029P"
"Gm22294","RNU6-1024P"
"Gm27987","AC004386.3"
"Gm22645","RNU6-1029P"
"Snord69","SNORD69"
"Gm22373","SNORD116-15"
"Gm26236","Z77249.1"
"Gm26000","RNU6-984P"
"Gm22728","SCARNA23"
"Snord14a","SNORD14B"
"Gm23138","RNU6-1029P"
"Gm26049","RNU6-520P"
"Gm23238","RNU1-42P"
"Gm22803","RN7SKP254"
"Gm23751","SCARNA11"
"Gm25798","RNU6-879P"
"Gm23293","RNU6-313P"
"Gm23179","RN7SKP162"
"Gm25289","AL356356.2"
"Gm27280","AC004080.9"
"Gm24734","RN7SKP11"
"Gm23404","AC007375.1"
"Gm23248","RNU6-294P"
"Gm22068","RNU1-42P"
"Gm22105","RNU6ATAC41P"
"Gm23780","RN7SKP110"
"Snord15b","SNORD15B"
"Gm23169","RNU6-689P"
"Snora43","AC034186.1"
"Gm22769","AL606804.2"
"Gm24924","RNU1-42P"
"Gm25663","SCARNA18B"
"Gm27404","AC009951.1"
"Gm23650","SNORD56"
"Gm27853","RN7SL520P"
"Gm25129","SNORA60"
"Gm25679","RNU1-42P"
"Gm23246","SNORD31B"
"Gm24201","SNORA63B"
"Gm26397","SNORA14B"
"Gm22126","RNU1-42P"
"Gm25273","SNORA80C"
"Snord42b","SNORD42B"
"Gm23027","RNU1-129P"
"Gm23958","RNU6-1297P"
"Gm25791","Z77249.1"
"Gm23085","RN7SKP103"
"Gm24596","RNU6-1108P"
"Gm23185","RNU6-1176P"
"Gm25207","RNU6-369P"
"Gm24211","RNU6-1024P"
"Gm26447","AL929472.5"
"Gm24357","AC107024.1"
"Gm27611","AC117415.2"
"Snora78","AL591806.3"
"Gm22864","AL929472.5"
"Gm27762","AC106873.7"
"Gm24382","RNU6-952P"
"Rnu1a1","RNU1-42P"
"Ighv1-66","AC136616.3"
"Mir30c-2","MIR30C2"
"Snord57","SNORD57"
"Gm24718","SCARNA3"
"Gm26062","RNU6-1325P"
"Ighv1-55","AC136616.3"
"Ighv1-59","AC136616.3"
"Mir105","MIR105-1"
"Gm25813","RNU2-25P"
