"MouseGeneName","Accession.New.x","Description.x","Sample1.x","Sample2.x","Sample3.x","Sample4.x","Sample5.x","Accession.Number.ori.x","Accession.Number.x","ProteinID.x","Accession.New.y","Description.y","Sample1.y","Sample2.y","Sample3.y","Sample4.y","Sample5.y","Accession.Number.ori.y","Accession.Number.y","ProteinID.y","HumanGeneName"
"0610037L13Rik","A2A8E2_MOUSE","RIKEN cDNA 0610037L13 gene OS=Mus musculus OX=10090 GN=0610037L13Rik PE=1 SV=1",2,2,0,3,3,"A2A8E2_MOUSE (+2)","A2A8E2_MOUSE","A2A8E2","A2A8E2_MOUSE","RIKEN cDNA 0610037L13 gene OS=Mus musculus OX=10090 GN=0610037L13Rik PE=1 SV=1",2,2,0,3,3,"A2A8E2_MOUSE (+2)","A2A8E2_MOUSE","A2A8E2","C1orf123"
"A2m","A2MG_MOUSE","Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2",25,20,22,25,30,"A2MG_MOUSE","A2MG_MOUSE","Q6GQT1","A2MG_MOUSE","Alpha-2-macroglobulin-P OS=Mus musculus OX=10090 GN=A2m PE=2 SV=2",25,20,22,25,30,"A2MG_MOUSE","A2MG_MOUSE","Q6GQT1","A2M"
"Aars","SYAC_MOUSE","Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars PE=1 SV=1",5,3,0,7,4,"SYAC_MOUSE","SYAC_MOUSE","Q8BGQ7","SYAC_MOUSE","Alanine--tRNA ligase, cytoplasmic OS=Mus musculus OX=10090 GN=Aars PE=1 SV=1",5,3,0,7,4,"SYAC_MOUSE","SYAC_MOUSE","Q8BGQ7","AARS1"
"Acly","ACLY_MOUSE","ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1",12,10,8,11,14,"ACLY_MOUSE (+1)","ACLY_MOUSE","Q91V92","ACLY_MOUSE","ATP-citrate synthase OS=Mus musculus OX=10090 GN=Acly PE=1 SV=1",12,10,8,11,14,"ACLY_MOUSE (+1)","ACLY_MOUSE","Q91V92","ACLY"
"Aco2","ACON_MOUSE","Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1",6,5,2,7,6,"ACON_MOUSE","ACON_MOUSE","Q99KI0","ACON_MOUSE","Aconitate hydratase, mitochondrial OS=Mus musculus OX=10090 GN=Aco2 PE=1 SV=1",6,5,2,7,6,"ACON_MOUSE","ACON_MOUSE","Q99KI0","ACO2"
"Acot2","ACOT2_MOUSE","Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2",7,6,0,4,7,"ACOT2_MOUSE","ACOT2_MOUSE","Q9QYR9","ACOT2_MOUSE","Acyl-coenzyme A thioesterase 2, mitochondrial OS=Mus musculus OX=10090 GN=Acot2 PE=1 SV=2",7,6,0,4,7,"ACOT2_MOUSE","ACOT2_MOUSE","Q9QYR9","ACOT2"
"Acp1","PPAC_MOUSE","Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3",2,2,3,3,2,"sp|Q9D358|PPAC_MOUSE","PPAC_MOUSE","Q9D358","PPAC_MOUSE","Low molecular weight phosphotyrosine protein phosphatase OS=Mus musculus OX=10090 GN=Acp1 PE=1 SV=3",2,2,3,3,2,"sp|Q9D358|PPAC_MOUSE","PPAC_MOUSE","Q9D358","ACP1"
"Actb","ACTB_MOUSE","Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1",18,18,15,17,18,"ACTB_MOUSE (+1)","ACTB_MOUSE","P60710","ACTB_MOUSE","Actin, cytoplasmic 1 OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1",18,18,15,17,18,"ACTB_MOUSE (+1)","ACTB_MOUSE","P60710","ACTB"
"Actc1","ACTC_MOUSE","Actin, alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1",2,3,0,3,2,"ACTC_MOUSE","ACTC_MOUSE","P68033","ACTC_MOUSE","Actin, alpha cardiac muscle 1 OS=Mus musculus OX=10090 GN=Actc1 PE=1 SV=1",2,3,0,3,2,"ACTC_MOUSE","ACTC_MOUSE","P68033","ACTC1"
"Actn1","ACTN1_MOUSE","Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1",25,31,25,34,28,"ACTN1_MOUSE","ACTN1_MOUSE","Q7TPR4","ACTN1_MOUSE","Alpha-actinin-1 OS=Mus musculus OX=10090 GN=Actn1 PE=1 SV=1",25,31,25,34,28,"ACTN1_MOUSE","ACTN1_MOUSE","Q7TPR4","ACTN1"
"Actn4","ACTN4_MOUSE","Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1",52,43,40,49,50,"ACTN4_MOUSE","ACTN4_MOUSE","P57780","ACTN4_MOUSE","Alpha-actinin-4 OS=Mus musculus OX=10090 GN=Actn4 PE=1 SV=1",52,43,40,49,50,"ACTN4_MOUSE","ACTN4_MOUSE","P57780","ACTN4"
"Actr1b","ACTY_MOUSE","Beta-centractin OS=Mus musculus OX=10090 GN=Actr1b PE=1 SV=1",3,2,2,0,3,"ACTY_MOUSE","ACTY_MOUSE","Q8R5C5","ACTY_MOUSE","Beta-centractin OS=Mus musculus OX=10090 GN=Actr1b PE=1 SV=1",3,2,2,0,3,"ACTY_MOUSE","ACTY_MOUSE","Q8R5C5","ACTR1B"
"Actr2","ARP2_MOUSE","Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1",10,9,5,10,9,"ARP2_MOUSE","ARP2_MOUSE","P61161","ARP2_MOUSE","Actin-related protein 2 OS=Mus musculus OX=10090 GN=Actr2 PE=1 SV=1",10,9,5,10,9,"ARP2_MOUSE","ARP2_MOUSE","P61161","ACTR2"
"Actr3","ARP3_MOUSE","Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3",12,16,9,13,12,"ARP3_MOUSE","ARP3_MOUSE","Q99JY9","ARP3_MOUSE","Actin-related protein 3 OS=Mus musculus OX=10090 GN=Actr3 PE=1 SV=3",12,16,9,13,12,"ARP3_MOUSE","ARP3_MOUSE","Q99JY9","ACTR3"
"Acyp1","ACYP1_MOUSE","Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2",2,3,0,3,2,"ACYP1_MOUSE (+1)","ACYP1_MOUSE","P56376","ACYP1_MOUSE","Acylphosphatase-1 OS=Mus musculus OX=10090 GN=Acyp1 PE=1 SV=2",2,3,0,3,2,"ACYP1_MOUSE (+1)","ACYP1_MOUSE","P56376","ACYP1"
"Ada","ADA_MOUSE","Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3",19,19,17,18,19,"ADA_MOUSE","ADA_MOUSE","P03958","ADA_MOUSE","Adenosine deaminase OS=Mus musculus OX=10090 GN=Ada PE=1 SV=3",19,19,17,18,19,"ADA_MOUSE","ADA_MOUSE","P03958","ADA"
"Adh5","ADHX_MOUSE","Alcohol dehydrogenase class-3 OS=Mus musculus OX=10090 GN=Adh5 PE=1 SV=3",5,4,3,5,6,"ADHX_MOUSE","ADHX_MOUSE","P28474","ADHX_MOUSE","Alcohol dehydrogenase class-3 OS=Mus musculus OX=10090 GN=Adh5 PE=1 SV=3",5,4,3,5,6,"ADHX_MOUSE","ADHX_MOUSE","P28474","ADH5"
"Adsl","PUR8_MOUSE","Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2",3,7,4,5,5,"PUR8_MOUSE","PUR8_MOUSE","P54822","PUR8_MOUSE","Adenylosuccinate lyase OS=Mus musculus OX=10090 GN=Adsl PE=1 SV=2",3,7,4,5,5,"PUR8_MOUSE","PUR8_MOUSE","P54822","ADSL"
"Adss","PURA2_MOUSE","Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss PE=1 SV=2",8,5,7,5,2,"PURA2_MOUSE","PURA2_MOUSE","P46664","PURA2_MOUSE","Adenylosuccinate synthetase isozyme 2 OS=Mus musculus OX=10090 GN=Adss PE=1 SV=2",8,5,7,5,2,"PURA2_MOUSE","PURA2_MOUSE","P46664","ADSS2"
"Aebp1","AEBP1_MOUSE","Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 GN=Aebp1 PE=1 SV=1",15,9,11,17,13,"sp|Q640N1|AEBP1_MOUSE","AEBP1_MOUSE","Q640N1","AEBP1_MOUSE","Adipocyte enhancer-binding protein 1 OS=Mus musculus OX=10090 GN=Aebp1 PE=1 SV=1",15,9,11,17,13,"sp|Q640N1|AEBP1_MOUSE","AEBP1_MOUSE","Q640N1","AEBP1"
